method,overall_macro_f1,collapse_macro_f1,stable_macro_f1,collapsed_count,time_s
Static,0.6286470835004149,0.03106298450334313,0.9027706369575663,10,
Tent,0.6313162612187095,0.03025880858807899,0.9026378534244742,10,6.2
EATA,0.6288112363075804,0.031114822193496237,0.9028341187038127,10,6.8
SAR,0.629327375889016,0.030288013224652542,0.9012480585701876,9,9.6
CoTTA,0.6295549397233988,0.030635551199966027,0.9034875144086131,10,10.4
NOTE,0.6301551214856984,0.030830529925467563,0.9022479950199258,10,51.5
