method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,stable_absorber,5,1,0.5,2.0,150,0,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
active_head_ft,margin,200,stable_absorber,5,1,0.5,2.0,150,10,36,0.7730525937073186,0.6394999328668912,0.2586762337091814,0.1008452970948241,27316,0.9458117144363364,0.8851056272498357,144164,10,5,0.7730687583177213,0.6395279776246617,0.25872795140159555,0.10093386290735794,27326,0.9458077851455207,0.8851121716403736,144172,10,5,350,0.19158145785331726
active_head_ft,margin,500,stable_absorber,5,1,0.5,2.0,150,20,82,0.7818260580965565,0.6511366343760928,0.3087599794916868,0.12186159343539045,27306,0.9474242823646933,0.8957398386188931,144154,9,6,0.7818472841813473,0.6512012076752732,0.30882675839859475,0.12199723289955207,27326,0.9474031018505674,0.895750454797484,144172,9,6,650,0.18453998863697052
active_head_ft,margin,1000,stable_absorber,5,1,0.5,2.0,150,39,155,0.7987890146109335,0.6693945612985719,0.4180745409902151,0.16060591426475435,27287,0.9399138355660698,0.8854426370302189,144143,8,5,0.7987997542375507,0.6695740348907927,0.41824635877918465,0.16095517970684167,27326,0.9398704325389119,0.8854755081119123,144172,8,5,1150,0.18442761898040771
