method,alpha,tau_conf,momentum,adapter_lr,accepted_rate,num_updated_classes,adapter_update_steps,loss,proto_loss,anchor_loss,identity_loss,logit_loss,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support
static,,,,,,,,,,,,,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
cls_head_identity,,,,,,,,,,,,,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
capspp_adapter,0.0,0.8,0.9,1e-05,0.39199035087653006,177,1293,0.014868731220084986,0.1486677922026095,1.4899488869696881e-07,2.656729766524296e-07,1.5370690686708517e-07,0.751942407550016,0.628644039404176,0.16411211787619612,0.154403108893387,47236,0.9412299198179952,0.9027721597228944,144172
capspp_adapter,0.0,0.8,0.9,3e-05,0.3919941295119741,177,1293,0.014880019970445649,0.1486710222050467,1.3370068116930677e-07,2.2397312844516542e-07,1.255985562364415e-06,0.751942407550016,0.6286412861782414,0.16411211787619612,0.15440464758217795,47236,0.9412368559775823,0.9027736824045884,144172
capspp_adapter,0.0,0.8,0.9,0.0001,0.3919858165139972,177,1293,0.014980619976387777,0.14867150494274203,1.6814085090026024e-07,2.2022652458755356e-07,1.1308085678186485e-05,0.7519439190041936,0.6286447668884028,0.16411211787619612,0.154403108893387,47236,0.9412299198179952,0.9027709362834846,144172
capspp_adapter,0.0,0.9,0.9,1e-05,0.3634079966506175,176,1293,0.014466724487429245,0.14464411727237036,1.4410693974066382e-07,2.2709898837904017e-07,1.9413340669599061e-07,0.7519461861854599,0.6286482522184902,0.16411211787619612,0.15440464758217795,47236,0.9412299198179952,0.9027721597228944,144172
capspp_adapter,0.0,0.9,0.9,3e-05,0.36340950810479516,176,1293,0.01447639701137433,0.14464633418023817,1.328319078558129e-07,2.115014796748177e-07,1.1419020572543383e-06,0.7519446747312823,0.6286464347789049,0.16411211787619612,0.15440359565335568,47236,0.9412299198179952,0.9027721597228944,144172
capspp_adapter,0.0,0.9,0.9,0.0001,0.363414042467328,176,1293,0.014591455914811948,0.1446525472441756,1.6828218508771757e-07,2.2105428171721488e-07,1.2581163531298954e-05,0.7519446747312823,0.6286478546196598,0.16411211787619612,0.15440618662855404,47236,0.9412299198179952,0.9027709362834846,144172
capspp_adapter,2.0,0.8,0.9,1e-05,0.39198883942235246,177,1293,0.014868865150465628,0.14866666420890856,1.4041465262252285e-07,2.5370544823328565e-07,1.8043968935264105e-07,0.7550484458850282,0.6319868603243045,0.16637733931746973,0.1592640770361101,47236,0.9432483422578587,0.9024416194363887,144172
capspp_adapter,2.0,0.8,0.9,3e-05,0.3919880836952636,177,1293,0.014877822523114068,0.14866658377375422,1.3862559169046805e-07,2.546045795957579e-07,1.077064493179383e-06,0.7550431557954065,0.6319884677647702,0.16637733931746973,0.15925939651487958,47236,0.9432414060982716,0.9024334765545046,144172
capspp_adapter,2.0,0.8,0.9,0.0001,0.3919941295119741,177,1293,0.01496741177020083,0.14867290352562648,1.7134133209750123e-07,1.9609895918865655e-07,9.975375149395942e-06,0.7550424000683177,0.6318992835132827,0.16637733931746973,0.15925485577225168,47236,0.9432414060982716,0.90243226782707,144172
capspp_adapter,2.0,0.9,0.9,1e-05,0.3634117752860616,176,1293,0.014466729128916228,0.1446463154644719,1.339609447091662e-07,2.47858958466794e-07,1.715525332684648e-07,0.7549834533553905,0.6320301852092266,0.16701244813278007,0.15876600577237276,47236,0.9433454484920789,0.9027168738783251,144172
capspp_adapter,2.0,0.9,0.9,3e-05,0.3634079966506175,176,1293,0.014475502152995647,0.14464665403660193,1.310189887265666e-07,2.063146786172445e-07,1.0499208178276487e-06,0.7549842090824793,0.6320276681578001,0.16701244813278007,0.15876600577237276,47236,0.9433385123324918,0.9027151488143623,144172
