class,group,reference_support,target_support,accepted_updates,static_f1,best_capspp_f1,delta_f1,static_recall,best_capspp_recall,delta_recall
45,other,2192,1463,216,0.788781163434903,0.7833450952717008,-0.00543606816320219,0.7785372522214627,0.758714969241285,-0.01982228298017774
46,other,9798,7420,1680,0.6391033964327205,0.6554803399107014,0.01637694347798091,0.630188679245283,0.6133423180592992,-0.016846361185983816
47,bad,3839,618,7,0.0,0.0,0.0,0.0,0.0,0.0
48,bad,5001,3361,4,0.0017709563164108619,0.0017610801291458762,-9.876187264985662e-06,0.0008925914906277894,0.0008925914906277894,0.0
49,other,40220,31563,14651,0.8421558075999669,0.8401847806147124,-0.0019710269852545315,0.8057218895542249,0.7980863669486424,-0.007635522605582423
50,other,4546,1528,28,0.186155285313377,0.2246891651865009,0.0385338798731239,0.13023560209424084,0.1655759162303665,0.03534031413612565
51,other,21842,11645,5606,0.8603878116343491,0.9094961729329633,0.04910836129861418,0.9335337054529841,0.9285530270502361,-0.004980678402747962
52,other,2301,1274,517,0.6664053312426499,0.6586466165413534,-0.007758714701296521,0.6671899529042387,0.6875981161695447,0.020408163265306034
53,other,9775,5505,2661,0.8221734357848518,0.8319146946029371,0.009741258818085297,0.8163487738419618,0.807811080835604,-0.00853769300635776
54,other,6663,5063,170,0.3268134914523333,0.4333837481094459,0.10657025665711262,0.20955954967410625,0.31127789847916254,0.10171834880505629
55,other,8193,4063,254,0.6650446066504461,0.9401381427475057,0.27509353609705967,0.5045532857494462,0.9045040610386414,0.3999507752891952
56,bad,10094,12137,14,0.0007871536523929471,0.001271556862433442,0.0004844032100404949,0.00041196341764851283,0.0006591414682376205,0.00024717805058910763
57,stable,3065,2331,1610,0.9740064446831365,0.9733905579399141,-0.000615886743222327,0.9725439725439725,0.972972972972973,0.0004290004290005145
58,other,2286,15,1,0.0,0.0,0.0,0.0,0.0,0.0
59,stable,13724,6030,5909,0.9851931507982463,0.9830983593041471,-0.0020947914940991907,0.9875621890547264,0.9887230514096186,0.0011608623548922115
60,other,49622,24845,7585,0.8670687575392039,0.8626506024096385,-0.004418155129565338,0.8679412356610988,0.8645602736969209,-0.00338096196417792
61,other,19676,10494,4706,0.6124639431139733,0.5847697044725899,-0.02769423864138343,0.870020964360587,0.8777396607585287,0.00771869639794176
62,stable,15549,11221,8740,0.9274218038262982,0.9130008106839612,-0.014420993142337024,0.9525888958203369,0.9534800819891275,0.0008911861687905809
63,other,11152,5492,2176,0.6012027349864074,0.5711493648049312,-0.030053370181476247,0.66442097596504,0.6917334304442826,0.027312454479242576
64,stable,2437,1215,501,0.7903039630627164,0.7862981704943558,-0.004005792568360644,0.8452674897119341,0.831275720164609,-0.013991769547325061
65,other,3145,2112,1217,0.927449168207024,0.9063416835928684,-0.02110748461415568,0.9502840909090909,0.9507575757575758,0.00047348484848486194
66,bad,5149,1955,62,0.001658374792703151,0.0014998125234345708,-0.0001585622692685802,0.0010230179028132991,0.0010230179028132991,0.0
67,other,854,1191,0,0.1558219178082192,0.2611965811965812,0.10537466338836199,0.1528127623845508,0.32073887489504616,0.16792611251049536
68,other,7271,2499,1277,0.7406663318265528,0.7389081312881411,-0.0017582005384116917,0.8851540616246498,0.896358543417367,0.011204481792717158
69,bad,879,1866,17,0.008430913348946136,0.013380909901873328,0.004949996552927192,0.00482315112540193,0.008038585209003215,0.0032154340836012853
70,other,2642,908,145,0.36075949367088606,0.3751937984496124,0.01443430477872637,0.2511013215859031,0.2665198237885463,0.01541850220264318
71,other,149408,39434,11539,0.7009773624831083,0.6960161310032995,-0.004961231479808759,0.8484556474108638,0.8665872090074555,0.018131561596591683
72,other,17880,5765,1550,0.49422234981698127,0.4700803612937504,-0.02414198852323085,0.5972246313963573,0.6138768430182133,0.01665221162185604
73,other,29211,8821,5706,0.8796707462363262,0.8740921380480305,-0.005578608188295697,0.9207572837546764,0.934587915202358,0.013830631447681596
74,other,9210,2294,471,0.5352180162913273,0.4793671156724396,-0.055850900618887644,0.486922406277245,0.488666085440279,0.0017436791630340287
75,other,28060,6807,1168,0.4022364217252396,0.4035608308605341,0.0013244091352945242,0.36991332451887765,0.3696195093286323,-0.0002938151902453501
76,stable,10523,2683,1532,0.8810229799851742,0.8903128533735394,0.009289873388365177,0.8859485650391353,0.8803578084234066,-0.00559075661572872
77,other,81932,17960,3072,0.7427868015732428,0.7335950298272185,-0.009191771746024369,0.6887527839643652,0.6607461024498886,-0.028006681514476606
78,other,48009,10246,6529,0.748072353426119,0.748345641124005,0.0002732876978860377,0.7527815732968963,0.7615654889713058,0.008783915674409504
