method,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,support
best_capspp_adapter,26,61,4,63,0.07806691449814127,807
best_capspp_adapter,26,29,5,42,0.05204460966542751,807
best_capspp_adapter,28,49,1,970,0.16680997420464316,5815
best_capspp_adapter,28,158,2,347,0.059673258813413586,5815
best_capspp_adapter,28,95,3,344,0.059157351676698194,5815
best_capspp_adapter,28,142,4,238,0.040928632846087706,5815
best_capspp_adapter,28,117,5,232,0.03989681857265692,5815
best_capspp_adapter,38,45,1,71,0.36787564766839376,193
best_capspp_adapter,38,39,2,67,0.3471502590673575,193
best_capspp_adapter,38,125,3,9,0.046632124352331605,193
best_capspp_adapter,38,105,4,7,0.03626943005181347,193
best_capspp_adapter,38,133,5,7,0.03626943005181347,193
best_capspp_adapter,47,5,1,298,0.48220064724919093,618
best_capspp_adapter,47,6,2,115,0.18608414239482202,618
best_capspp_adapter,47,7,3,73,0.11812297734627832,618
best_capspp_adapter,47,177,4,35,0.05663430420711974,618
best_capspp_adapter,47,102,5,26,0.042071197411003236,618
best_capspp_adapter,48,14,1,1167,0.34721808985421004,3361
best_capspp_adapter,48,177,2,1147,0.3412674799166915,3361
best_capspp_adapter,48,170,3,635,0.1889318655162154,3361
best_capspp_adapter,48,6,4,218,0.06486164831895269,3361
best_capspp_adapter,48,5,5,64,0.019041951800059506,3361
best_capspp_adapter,56,96,1,3085,0.2541814286891324,12137
best_capspp_adapter,56,165,2,3077,0.25352228722089476,12137
best_capspp_adapter,56,118,3,2497,0.2057345307736673,12137
best_capspp_adapter,56,14,4,1122,0.09244459092032628,12137
best_capspp_adapter,56,71,5,482,0.03971327346131664,12137
best_capspp_adapter,66,71,1,306,0.1565217391304348,1955
best_capspp_adapter,66,142,2,295,0.15089514066496162,1955
best_capspp_adapter,66,49,3,232,0.11867007672634271,1955
best_capspp_adapter,66,78,4,172,0.08797953964194373,1955
best_capspp_adapter,66,108,5,141,0.0721227621483376,1955
best_capspp_adapter,69,105,1,697,0.37352625937834943,1866
best_capspp_adapter,69,125,2,204,0.10932475884244373,1866
best_capspp_adapter,69,60,3,173,0.09271168274383708,1866
best_capspp_adapter,69,39,4,170,0.09110396570203644,1866
best_capspp_adapter,69,18,5,159,0.08520900321543408,1866
best_capspp_adapter,104,2,1,616,0.3532110091743119,1744
best_capspp_adapter,104,19,2,286,0.16399082568807338,1744
best_capspp_adapter,104,133,3,277,0.1588302752293578,1744
best_capspp_adapter,104,34,4,98,0.05619266055045872,1744
best_capspp_adapter,104,110,5,73,0.041857798165137614,1744
best_capspp_adapter,109,71,1,109,0.27735368956743,393
best_capspp_adapter,109,158,2,80,0.2035623409669211,393
best_capspp_adapter,109,140,3,59,0.15012722646310434,393
best_capspp_adapter,109,116,4,27,0.06870229007633588,393
best_capspp_adapter,109,142,5,27,0.06870229007633588,393
best_capspp_adapter,118,96,1,539,0.2091579355840124,2577
best_capspp_adapter,118,25,2,459,0.1781140861466822,2577
best_capspp_adapter,118,97,3,11,0.004268529297632906,2577
best_capspp_adapter,118,90,4,10,0.0038804811796662787,2577
best_capspp_adapter,118,124,5,10,0.0038804811796662787,2577
best_capspp_adapter,139,32,1,155,0.1593011305241521,973
best_capspp_adapter,139,133,2,130,0.13360739979445016,973
best_capspp_adapter,139,61,3,105,0.1079136690647482,973
best_capspp_adapter,139,141,4,40,0.041109969167523124,973
best_capspp_adapter,139,156,5,33,0.03391572456320658,973
best_capspp_adapter,164,149,1,130,0.07696862048549438,1689
best_capspp_adapter,164,117,2,117,0.06927175843694494,1689
best_capspp_adapter,164,138,3,79,0.046773238602723505,1689
best_capspp_adapter,164,124,4,66,0.03907637655417407,1689
best_capspp_adapter,164,96,5,27,0.015985790408525755,1689
best_capspp_adapter,174,2,1,445,0.29528865295288653,1507
best_capspp_adapter,174,28,2,335,0.22229595222295953,1507
best_capspp_adapter,174,133,3,267,0.1771731917717319,1507
best_capspp_adapter,174,23,4,103,0.0683477106834771,1507
best_capspp_adapter,174,19,5,102,0.0676841406768414,1507
