period,setting,accuracy,macro_f1,weighted_f1,delta_macro_f1_vs_raw,delta_accuracy_vs_raw,total_w1_before,total_w1_after,total_w1_reduction,setting_region_w1_before,setting_region_w1_after,setting_region_w1_reduction,elapsed_s
W-2022-46,raw,0.7156751364791617,0.7134666395939337,0.7064435918492228,0.0,0.0,528.8797182019754,528.8797182019754,0.0,0.0,0.0,0.0,21.724405527114868
W-2022-46,size_all,0.7335245234305665,0.690372749687858,0.7250930674424436,-0.02309388990607575,0.01784938695140481,528.8797182019754,320.7994858045503,208.0802323974251,222.87890745797318,14.798675060548069,208.0802323974251,41.69927501678467
W-2022-46,direction_front_0_9,0.6606707485692955,0.5883025353905339,0.6507892781354189,-0.12516410420339985,-0.05500438790986617,528.8797182019754,531.8353808750281,-2.955662673052757,0.288313133558739,3.2439758066115107,-2.955662673052772,25.978370428085327
W-2022-46,ipt_tail_20_29,0.7126225309210369,0.7081859200754916,0.7030318966634871,-0.005280719518442112,-0.00305260555812481,528.8797182019754,465.11744783684657,63.76227036512881,73.41921799107779,9.65694762594912,63.762270365128664,30.49208164215088
W-2022-46,size_direction_front_ipt_tail,0.6468760401090842,0.5533706398201851,0.6367439628031538,-0.16009599977374867,-0.06879909637007753,528.8797182019754,259.9928781124742,268.88684008950116,296.5864385826098,27.699598493108702,268.8868400895011,54.184784173965454
W-2022-46,all,0.4552144763162887,0.31815097366313055,0.4733452110766432,-0.3953156659308032,-0.260460660162873,528.8797182019754,144.05880008249935,384.820918119476,528.8797182019754,144.05880008249935,384.820918119476,92.58622431755066
W-2022-47,raw,0.7115500804874165,0.7193769985889026,0.7015337545764072,0.0,0.0,605.8708275358214,605.8708275358214,0.0,0.0,0.0,0.0,28.40406823158264
W-2022-47,size_all,0.7277047737301665,0.6942076190435785,0.7187591764102825,-0.025169379545324055,0.016154693242749985,605.8708275358214,351.0509664428456,254.81986109297577,270.3470941354777,15.527233042501866,254.8198610929758,57.280375242233276
W-2022-47,direction_front_0_9,0.6553709837263464,0.5959995562623543,0.645658152572365,-0.12337744232654824,-0.056179096761070135,605.8708275358214,608.8410425822082,-2.970215046386784,0.28187072595799056,3.252085772344647,-2.9702150463866563,34.243085622787476
W-2022-47,ipt_tail_20_29,0.7083811344033912,0.7127033738148216,0.6980771953777071,-0.006673624774080955,-0.0031689460840252925,605.8708275358214,540.0371311484121,65.8336963874093,74.78507161732595,8.951375229916643,65.8336963874093,41.40458345413208
W-2022-47,size_direction_front_ipt_tail,0.6448065184212964,0.5596213607578372,0.6333954337215694,-0.1597556378310654,-0.06674356206612009,605.8708275358214,288.18748510182286,317.6833424339985,345.4140364787617,27.730694044763165,317.6833424339986,75.08152222633362
W-2022-47,all,0.5159205562864032,0.3140189808444267,0.5138498157078033,-0.4053580177444759,-0.19562952420101332,605.8708275358214,171.6082295278468,434.2625980079746,605.8708275358214,171.6082295278468,434.2625980079746,123.47243189811707
