period,metric,bad_n,bad_mean,bad_median,bad_std,stable_n,stable_mean,stable_median,stable_std,mean_diff_bad_minus_stable,cohens_d_bad_minus_stable,mannwhitney_p
M-2022-12,centroid_shift_from_ref,20,5.918843162059784,6.186275959014893,2.3596586541945754,20,1.9331586599349975,1.6086755990982056,1.252488078412757,3.9856845021247866,2.109933308479297,2.355659136230732e-06
M-2022-12,delta_radius_from_ref,20,0.21564520597457887,0.27206897735595703,1.2668371753531422,20,-0.4695524573326111,-0.11302733421325684,0.9535385417800084,0.6851976633071899,0.611136953747826,0.06786818721248442
M-2022-12,delta_nearest_distance_from_ref,20,-0.13838655948638917,-0.20464301109313965,0.7323978935899406,20,0.18217573165893555,-0.013099312782287598,0.8911392755870825,-0.32056229114532475,-0.3930195332564295,0.39414872806743595
M-2022-12,delta_margin_from_ref,20,-0.35403176546096804,-0.7478554248809814,1.7983775005564917,20,0.6517281889915466,0.28684258460998535,1.7627353608409486,-1.0057599544525146,-0.5648288171480376,0.11355139298344043
M-2022-12,delta_current_partner_distance_from_ref,20,-0.8767693519592286,-0.8004255294799805,2.060436481553985,20,0.34431092739105223,0.08349418640136719,1.6462349573366462,-1.2210802793502809,-0.6547800088356553,0.10172863141500606
M-2022-12,size_sum_w1,19,21035.59252160823,11472.976657234562,24257.422777949138,20,6381.620168573539,5042.432677319763,5876.914833382712,14653.97235303469,0.8404692877540065,0.023706379804012224
M-2022-12,direction_front_0_9_sum_w1,19,3.799446193121438,3.7951247248685136,1.8076001137019704,20,1.7962314261955865,1.0054237913261872,2.2222436430191497,2.0032147669258515,0.9862582405031938,0.00014053696382694994
M-2022-12,ipt_tail_20_29_sum_w1,19,1011.2618663212262,399.99740840665856,1365.4623407928048,20,395.0691840470935,71.8894265161528,674.087635251845,616.1926822741327,0.5770197804759102,0.1002365121498762
M-2022-12,total_norm_w1_std_floor_1,19,908.2812027816981,50.560340528920676,3428.6347048697403,20,39.15020670943374,15.491587496675805,80.51872673692384,869.1309960722643,0.3633308346289606,0.0010627423699132378
M-2022-12,total_log_w1,19,53.36869936968312,58.64378618619335,26.652801700442446,20,21.319579229869586,16.184408401570284,14.544661654438777,32.04912013981354,1.5037776864300545,0.0003789244508244702
M-2022-12,delta_f1_from_ref,20,-0.7200861224483266,-0.6717728805674055,0.18292127349716264,20,-0.006748782126349917,-0.007558780303391632,0.01067383615097735,-0.7133373403219767,-5.505637545459544,6.795615128173358e-08
