period,metric,target,n,pearson_r,pearson_p,spearman_r,spearman_p
M-2022-12,centroid_shift_from_ref,delta_f1_from_ref,172,-0.6149743695331211,2.8435474560301156e-19,-0.5552977079073541,2.6675072840818956e-15
M-2022-12,centroid_shift_from_ref,f1_drop_from_ref,172,0.6149743695331211,2.8435474560301156e-19,0.5552977079073541,2.6675072840818956e-15
M-2022-12,delta_radius_from_ref,delta_f1_from_ref,172,-0.24431756263829976,0.0012382456929798877,-0.1846668694858533,0.015303403606967851
M-2022-12,delta_radius_from_ref,f1_drop_from_ref,172,0.24431756263829976,0.0012382456929798877,0.1846668694858533,0.015303403606967851
M-2022-12,delta_nearest_distance_from_ref,delta_f1_from_ref,172,0.15438399891548696,0.04316573216854872,0.12116688305555844,0.11334383268522172
M-2022-12,delta_nearest_distance_from_ref,f1_drop_from_ref,172,-0.15438399891548696,0.04316573216854872,-0.12116688305555844,0.11334383268522172
M-2022-12,delta_margin_from_ref,delta_f1_from_ref,172,0.22968626723829083,0.002437693926742823,0.19069484438344145,0.01221952195038291
M-2022-12,delta_margin_from_ref,f1_drop_from_ref,172,-0.22968626723829083,0.002437693926742823,-0.19069484438344145,0.01221952195038291
M-2022-12,delta_current_partner_distance_from_ref,delta_f1_from_ref,172,0.30610045391795504,4.4332631895023274e-05,0.23071616736220193,0.0023272778084379307
M-2022-12,delta_current_partner_distance_from_ref,f1_drop_from_ref,172,-0.30610045391795504,4.4332631895023274e-05,-0.23071616736220193,0.0023272778084379307
M-2022-12,size_sum_w1,delta_f1_from_ref,171,-0.3545440179623449,1.957788898644373e-06,-0.26267549859601125,0.0005187424375975907
M-2022-12,size_sum_w1,f1_drop_from_ref,171,0.3545440179623449,1.957788898644373e-06,0.26267549859601125,0.0005187424375975907
M-2022-12,direction_front_0_9_sum_w1,delta_f1_from_ref,171,-0.41423274392386955,1.7798744030119923e-08,-0.39448484412124707,9.35438620821242e-08
M-2022-12,direction_front_0_9_sum_w1,f1_drop_from_ref,171,0.41423274392386955,1.7798744030119923e-08,0.39448484412124707,9.35438620821242e-08
M-2022-12,ipt_tail_20_29_sum_w1,delta_f1_from_ref,171,-0.044331898176684065,0.5647869063128421,-0.176051014114828,0.02126195986248992
M-2022-12,ipt_tail_20_29_sum_w1,f1_drop_from_ref,171,0.044331898176684065,0.5647869063128421,0.176051014114828,0.02126195986248992
M-2022-12,total_norm_w1_std_floor_1,delta_f1_from_ref,171,-0.2602467052657286,0.0005868175480970238,-0.28158014735882114,0.00019079041541619646
M-2022-12,total_norm_w1_std_floor_1,f1_drop_from_ref,171,0.2602467052657286,0.0005868175480970238,0.28158014735882114,0.00019079041541619646
M-2022-12,total_log_w1,delta_f1_from_ref,171,-0.29369439190025687,9.670375397254468e-05,-0.3504979960160319,2.6055345722306538e-06
M-2022-12,total_log_w1,f1_drop_from_ref,171,0.29369439190025687,9.670375397254468e-05,0.3504979960160319,2.6055345722306538e-06
