method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,margin,1000,3,0.7496,0.0007,0.4562,0.0051,0.8403,0.0013,1.0000,0.0000,0.7499,0.0007,0.4570,0.0051,0.8404,0.0012,1.0000,0.0000
active_head_ft,margin,200,3,0.7419,0.0013,0.3568,0.0044,0.8230,0.0048,1.0000,0.0000,0.7420,0.0013,0.3568,0.0044,0.8230,0.0048,1.0000,0.0000
active_head_ft,margin,500,3,0.7487,0.0010,0.4238,0.0122,0.8382,0.0055,1.0000,0.0000,0.7488,0.0011,0.4244,0.0121,0.8383,0.0055,1.0000,0.0000
static,,0,3,0.7402,0.0000,0.0232,0.0000,0.8322,0.0000,2.0000,0.0000,0.7402,0.0000,0.0232,0.0000,0.8322,0.0000,2.0000,0.0000
