method,overall_macro_f1,collapse_macro_f1,stable_macro_f1,collapsed_count,time_s
Static,0.6195492167693935,0.03642294514667084,0.8710206512615792,11,
BN-Adapt,0.6195492167693935,0.03642294514667084,0.8710206512615792,11,12.3
Tent,0.617600223972961,0.0371807535166195,0.8721455535100759,11,10.9
EATA,0.6194896225352085,0.036422036296470554,0.8711275765946306,11,14.5
CoTTA,0.6189952811133178,0.036620108217909994,0.8708042303426714,11,11.8
SAR,0.6179200974682959,0.03662639647830652,0.8712864799684878,11,8.2
NOTE,0.6183313014770241,0.03759925530053799,0.8713219134786374,11,48.4
