mode,budget,seed,macro_f1,collapse_f1,stable_f1,collapsed
head_only,1000,2,0.6352637669226628,0.031718317574951874,0.8846010461544347,11
full_model,1000,2,0.6147294218737138,0.2273037506098383,0.8649572118165455,8
