class,accepted,reference_support,target_support,accepted_per_target_support
0,396,1414,627,0.631578947368421
1,3519,10792,5041,0.6980757786153541
2,1435,7583,4913,0.29208223081620194
3,847,1593,814,1.0405405405405406
4,1260,3737,1306,0.9647779479326187
5,434,2093,949,0.45732349841938885
6,330,2729,1455,0.2268041237113402
7,3,36,13,0.23076923076923078
8,798,1574,1238,0.6445880452342488
9,140,1547,1255,0.11155378486055777
10,942,2020,1346,0.6998514115898959
11,298,1685,1290,0.2310077519379845
12,566,2788,1813,0.31218974076116934
13,75,2093,1115,0.06726457399103139
15,352,751,538,0.654275092936803
16,23,2008,949,0.02423603793466807
17,6125,10007,9274,0.6604485658831141
18,10227,21926,12401,0.8246915571324893
19,3330,13185,9918,0.33575317604355714
20,492,1281,1273,0.38648860958366066
21,1200,2620,1255,0.9561752988047809
22,280,4636,449,0.623608017817372
23,3789,12840,5629,0.6731213359388879
24,3667,10253,4214,0.8701945894636924
25,18466,54557,35008,0.5274794332723949
26,250,2293,952,0.26260504201680673
27,8538,19386,15113,0.5649440878713691
28,2989,16366,10579,0.2825408828811797
29,5785,29653,19817,0.2919210778624413
30,1888,8131,5745,0.32863359442993906
31,3978,7973,5940,0.6696969696969697
32,185,2331,2014,0.09185700099304867
33,25,204,273,0.09157509157509157
34,738,588,802,0.9201995012468828
35,2733,875,3174,0.8610586011342155
36,995,826,1292,0.7701238390092879
37,812,1989,939,0.8647497337593184
38,48,77,102,0.47058823529411764
39,2203,4388,5963,0.3694449102800604
40,762,2334,1205,0.6323651452282157
41,483,2121,1992,0.24246987951807228
42,67,1839,630,0.10634920634920635
43,199,2042,1330,0.14962406015037594
44,1684,2910,1904,0.884453781512605
45,4,2192,1928,0.002074688796680498
46,1259,9798,4182,0.3010521281683405
47,368,3839,384,0.9583333333333334
48,427,5001,4498,0.09493108048021343
49,7036,40220,13761,0.5113000508683961
50,1,4546,2568,0.0003894080996884735
51,7181,21842,15397,0.4663895564070923
52,388,2301,1010,0.38415841584158417
53,3197,9775,4517,0.7077706442328979
54,49,6663,3357,0.01459636580280012
55,5510,8193,5627,0.9792073929269594
56,11,10094,8114,0.0013556815380823268
57,2024,3065,2449,0.8264597795018375
58,1730,2286,1749,0.989136649514008
59,5301,13724,5381,0.9851328749303103
60,7408,49622,21024,0.3523592085235921
61,5542,19676,12195,0.45444854448544486
62,7169,15549,8933,0.802529945147207
63,3874,11152,8561,0.45251722929564303
64,5,2437,16,0.3125
65,1375,3145,2044,0.6727005870841487
66,1137,5149,2587,0.43950521839969076
67,327,854,1175,0.2782978723404255
68,1656,7271,3493,0.47409103922129975
69,360,879,605,0.5950413223140496
70,415,2642,1078,0.3849721706864564
71,20913,149408,78156,0.2675802241670505
72,2358,17880,7931,0.2973143361492876
73,12660,29211,15014,0.8432130011988811
74,813,9210,3474,0.23402417962003455
75,3590,28060,16084,0.22320318328773936
76,1763,10523,5019,0.35126519226937636
77,7790,81932,35082,0.22205119434467818
78,23838,48009,31608,0.7541761579347
79,2746,25102,10765,0.25508592661402696
80,315,6096,2151,0.14644351464435146
81,2698,7217,3251,0.8298984927714549
82,4695,79609,38594,0.12165103383945691
83,11922,24502,21074,0.5657207933947044
84,866,2397,1135,0.7629955947136564
85,930,2080,1437,0.6471816283924844
86,4247,27759,16760,0.25340095465393797
87,7028,11231,9083,0.7737531652537708
