method,alpha,tau_conf,momentum,accepted_rate,num_updated_classes,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support
static,,,,,,0.831152399116993,0.7401953796542524,0.46154007553503984,0.5407301228263706,47660,0.9531574773000766,0.8321626795809953,146256
caps_target_proto,2.0,0.8,0.9,0.43994534149502673,176,0.8324933955423429,0.7403540128898983,0.46416281997482167,0.539408013456748,47660,0.9526446778251833,0.8315107252543322,146256
caps_target_proto,2.0,0.9,0.9,0.41624234171081925,176,0.832384158951972,0.7404953281242644,0.46412085606378517,0.5392950913936737,47660,0.9525763045618642,0.8316430317925111,146256
caps_target_proto,5.0,0.8,0.9,0.43994534149502673,176,0.8279389669033236,0.7351211221656457,0.4652538816617709,0.5339478646851987,47660,0.9513660978011158,0.8266855036994384,146256
caps_target_proto,5.0,0.9,0.9,0.41624234171081925,176,0.8277995729720529,0.7356304172523135,0.4651489718841796,0.5336431023324737,47660,0.9513250738431244,0.8271820647508802,146256
