method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,absorber_margin,1000,3,0.6487,0.0014,0.3348,0.0031,0.8899,0.0026,4.0000,0.0000,0.6491,0.0014,0.3360,0.0031,0.8899,0.0026,4.0000,0.0000
active_head_ft,absorber_margin,200,3,0.6202,0.0005,0.1825,0.0015,0.8669,0.0104,7.0000,0.0000,0.6203,0.0005,0.1828,0.0015,0.8669,0.0104,7.0000,0.0000
active_head_ft,absorber_margin,500,3,0.6350,0.0010,0.2769,0.0047,0.8795,0.0061,4.0000,1.0000,0.6352,0.0010,0.2777,0.0047,0.8795,0.0061,4.0000,1.0000
active_head_ft,margin,1000,3,0.6737,0.0018,0.3292,0.0064,0.8919,0.0024,5.0000,0.0000,0.6740,0.0018,0.3301,0.0063,0.8919,0.0024,5.0000,0.0000
active_head_ft,margin,200,3,0.6330,0.0026,0.1278,0.0021,0.8707,0.0038,9.3333,0.5774,0.6330,0.0026,0.1279,0.0021,0.8707,0.0038,9.3333,0.5774
active_head_ft,margin,500,3,0.6567,0.0032,0.2125,0.0093,0.8905,0.0015,7.0000,0.0000,0.6569,0.0032,0.2129,0.0093,0.8905,0.0015,7.0000,0.0000
active_head_ft,random,1000,3,0.6578,0.0029,0.2276,0.0338,0.8913,0.0029,7.3333,1.1547,0.6580,0.0030,0.2279,0.0335,0.8914,0.0029,7.3333,1.1547
active_head_ft,random,200,3,0.6241,0.0071,0.0589,0.0307,0.8737,0.0027,11.0000,1.0000,0.6241,0.0071,0.0589,0.0307,0.8737,0.0028,11.0000,1.0000
active_head_ft,random,500,3,0.6454,0.0061,0.1589,0.0537,0.8817,0.0063,8.3333,0.5774,0.6455,0.0061,0.1591,0.0534,0.8817,0.0063,8.3333,0.5774
static,,0,3,0.6203,0.0000,0.0315,0.0000,0.8896,0.0000,12.0000,0.0000,0.6203,0.0000,0.0315,0.0000,0.8896,0.0000,12.0000,0.0000
