period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-11,70,82,168,0.09380234505862646,115
M-2022-11,86,61,4732,0.09271523178807947,116
M-2022-11,147,129,61,0.09228441754916793,117
M-2022-11,54,29,741,0.09184432325235498,118
M-2022-11,136,93,1660,0.09075997813012575,119
M-2022-11,34,128,183,0.08992628992628993,120
M-2022-11,75,82,1064,0.08990283058724123,121
M-2022-11,171,61,695,0.08952724462192452,122
M-2022-11,159,67,252,0.08936170212765958,123
M-2022-11,22,155,100,0.08888888888888889,124
M-2022-11,38,133,8,0.08888888888888889,125
M-2022-11,9,71,123,0.086987270155587,126
M-2022-11,159,13,245,0.08687943262411348,127
M-2022-11,9,26,122,0.08628005657708628,128
M-2022-11,127,149,703,0.0856272838002436,129
M-2022-11,77,71,2509,0.08531692056583243,130
M-2022-11,127,19,696,0.08477466504263094,131
M-2022-11,163,61,195,0.08470894874022589,132
M-2022-11,47,14,7,0.08433734939759036,133
M-2022-11,77,72,2472,0.08405875952121872,134
M-2022-11,143,153,525,0.08357211079274117,135
M-2022-11,69,110,187,0.0818739054290718,136
M-2022-11,167,138,6,0.08108108108108109,137
M-2022-11,115,133,1988,0.08103370969714263,138
M-2022-11,33,25,17,0.08095238095238096,139
M-2022-11,26,13,133,0.08075288403157256,140
M-2022-11,120,119,158,0.08040712468193384,141
M-2022-11,46,67,974,0.08021742711250206,142
M-2022-11,80,72,135,0.07931844888366628,143
M-2022-11,74,71,271,0.07821067821067822,144
M-2022-11,92,65,114,0.07770961145194274,145
M-2022-11,60,61,4584,0.0777041343888258,146
M-2022-11,72,175,758,0.07729173039665545,147
M-2022-11,168,110,356,0.07725694444444445,148
M-2022-11,149,117,3334,0.07707779447462722,149
M-2022-11,7,6,4,0.07692307692307693,150
M-2022-11,161,149,60,0.07643312101910828,151
M-2022-11,66,49,249,0.07593778591033852,152
M-2022-11,159,49,214,0.07588652482269503,153
M-2022-11,162,42,13,0.0755813953488372,154
M-2022-11,100,97,1939,0.0751900108577633,155
M-2022-11,94,117,43,0.07478260869565218,156
M-2022-11,105,110,290,0.07468452227659027,157
M-2022-11,163,155,170,0.0738488271068636,158
M-2022-11,94,65,42,0.07304347826086957,159
M-2022-11,47,3,6,0.07228915662650602,160
M-2022-11,47,177,6,0.07228915662650602,161
M-2022-11,33,51,15,0.07142857142857142,162
M-2022-11,108,158,443,0.07126769626769627,163
M-2022-11,77,175,2088,0.07100108813928183,164
M-2022-11,73,82,998,0.07016310461192352,165
M-2022-11,121,140,3,0.06976744186046512,166
M-2022-11,121,156,3,0.06976744186046512,167
M-2022-11,56,14,1054,0.0696537139836109,168
M-2022-11,37,160,96,0.069164265129683,169
M-2022-11,13,46,158,0.06884531590413943,170
M-2022-11,12,132,160,0.06828851899274435,171
M-2022-11,164,149,169,0.0681726502622025,172
M-2022-11,80,71,116,0.0681551116333725,173
M-2022-11,82,71,3132,0.06806328233657859,174
M-2022-11,74,77,235,0.06782106782106782,175
M-2022-11,146,169,430,0.06763133060710916,176
M-2022-11,11,133,206,0.06743044189852701,177
M-2022-11,16,176,152,0.06725663716814159,178
M-2022-11,64,168,143,0.06701030927835051,179
M-2022-11,67,159,168,0.06698564593301436,180
M-2022-11,33,123,14,0.06666666666666667,181
M-2022-11,38,126,6,0.06666666666666667,182
M-2022-11,29,149,2890,0.06534469893956181,183
M-2022-11,105,41,253,0.06515580736543909,184
M-2022-11,147,71,43,0.06505295007564296,185
M-2022-11,147,117,43,0.06505295007564296,186
M-2022-11,143,19,408,0.06494746895893028,187
M-2022-11,50,120,93,0.06467315716272601,188
M-2022-11,16,155,146,0.06460176991150443,189
M-2022-11,160,115,124,0.06395048994326973,190
M-2022-11,12,117,148,0.06316688006828852,191
M-2022-11,174,93,203,0.06248076331178824,192
M-2022-11,112,61,118,0.06210526315789474,193
M-2022-11,112,132,118,0.06210526315789474,194
M-2022-11,159,29,175,0.06205673758865248,195
M-2022-11,159,133,175,0.06205673758865248,196
M-2022-11,28,117,695,0.06173387813110677,197
M-2022-11,111,16,140,0.06159260888693357,198
M-2022-11,32,61,92,0.06121091151031271,199
M-2022-11,74,72,212,0.06118326118326119,200
M-2022-11,14,61,743,0.06089165710539256,201
M-2022-11,71,175,3880,0.06050587905061909,202
M-2022-11,85,130,76,0.06041335453100159,203
M-2022-11,47,134,5,0.060240963855421686,204
M-2022-11,138,99,1169,0.06020807581376185,205
M-2022-11,9,136,85,0.060113154172560114,206
M-2022-11,141,140,108,0.060066740823136816,207
M-2022-11,154,14,218,0.0598736610821203,208
M-2022-11,5,6,133,0.059775280898876404,209
M-2022-11,94,172,34,0.059130434782608696,210
M-2022-11,162,115,10,0.05813953488372093,211
M-2022-11,162,149,10,0.05813953488372093,212
M-2022-11,106,107,168,0.057931034482758624,213
M-2022-11,141,61,104,0.05784204671857619,214
M-2022-11,119,120,117,0.057692307692307696,215
M-2022-11,173,122,67,0.057461406518010294,216
M-2022-11,28,158,645,0.057292591934624264,217
M-2022-11,111,153,130,0.05719313682358117,218
M-2022-11,41,43,157,0.0571740713765477,219
M-2022-11,148,133,313,0.056805807622504534,220
M-2022-11,32,86,85,0.056553559547571526,221
M-2022-11,49,78,2708,0.05623157107853316,222
M-2022-11,14,63,685,0.056138337977380756,223
M-2022-11,61,86,1371,0.05571358907672302,224
M-2022-11,137,86,142,0.05542544886807182,225
M-2022-11,30,71,30,0.05514705882352941,226
M-2022-11,166,157,125,0.05489679402722881,227
M-2022-11,147,122,36,0.05446293494704992,228
M-2022-11,167,133,4,0.05405405405405406,229
M-2022-11,16,140,122,0.05398230088495575,230
M-2022-11,105,168,209,0.053824362606232294,231
M-2022-11,105,125,207,0.05330929693535926,232
M-2022-11,174,117,173,0.05324715297014466,233
M-2022-11,150,96,81,0.053219448094612355,234
M-2022-11,106,109,154,0.05310344827586207,235
M-2022-11,105,153,202,0.052021632758176665,236
M-2022-11,160,42,100,0.05157297576070139,237
M-2022-11,41,117,140,0.05098324836125273,238
M-2022-11,139,156,113,0.05017761989342807,239
M-2022-11,109,140,75,0.05003335557038025,240
M-2022-11,143,133,313,0.04982489652976759,241
M-2022-11,30,138,27,0.04963235294117647,242
M-2022-11,170,25,152,0.0492546986390149,243
M-2022-11,163,140,113,0.04908774978279757,244
M-2022-11,92,61,72,0.049079754601226995,245
M-2022-11,19,17,1862,0.04838877338877339,246
M-2022-11,47,5,4,0.04819277108433735,247
M-2022-11,47,151,4,0.04819277108433735,248
M-2022-11,75,175,569,0.048077735530207014,249
M-2022-11,139,153,108,0.047957371225577264,250
M-2022-11,30,175,26,0.04779411764705882,251
M-2022-11,52,139,117,0.04748376623376623,252
M-2022-11,142,75,1296,0.04728028893509905,253
M-2022-11,162,43,8,0.046511627906976744,254
M-2022-11,121,2,2,0.046511627906976744,255
M-2022-11,35,41,77,0.04646952323476162,256
M-2022-11,16,153,103,0.045575221238938056,257
M-2022-11,49,71,2189,0.045454545454545456,258
M-2022-11,66,156,149,0.04544068313510217,259
M-2022-11,32,63,68,0.04524284763805722,260
M-2022-11,56,170,681,0.04500396510705789,261
M-2022-11,154,63,163,0.04476792090085142,262
M-2022-11,163,13,103,0.04474370112945265,263
M-2022-11,82,73,2044,0.04441933240611961,264
M-2022-11,166,25,101,0.04435660957400088,265
M-2022-11,173,83,51,0.04373927958833619,266
M-2022-11,136,135,796,0.04352104975396391,267
M-2022-11,80,82,74,0.043478260869565216,268
M-2022-11,97,117,1930,0.04305152799464644,269
M-2022-11,33,166,9,0.04285714285714286,270
M-2022-11,63,133,612,0.04261541675370796,271
M-2022-11,41,149,117,0.04260742898761835,272
M-2022-11,166,153,97,0.04259991216512956,273
M-2022-11,129,156,1504,0.042584517809615495,274
M-2022-11,148,131,234,0.042468239564428314,275
M-2022-11,50,122,61,0.04242002781641168,276
M-2022-11,45,117,73,0.04236796285548462,277
M-2022-11,14,153,516,0.042288149483691195,278
M-2022-11,13,29,97,0.04226579520697168,279
M-2022-11,66,70,138,0.042086001829826164,280
M-2022-11,165,56,232,0.04204421891989851,281
M-2022-11,152,57,36,0.041811846689895474,282
M-2022-11,66,175,136,0.04147605977432144,283
M-2022-11,135,49,114,0.041379310344827586,284
M-2022-11,104,34,112,0.041191614564178004,285
M-2022-11,143,149,257,0.040910538045208535,286
M-2022-11,26,136,67,0.04068002428658166,287
M-2022-11,89,61,24,0.04060913705583756,288
M-2022-11,167,82,3,0.04054054054054054,289
M-2022-11,167,90,3,0.04054054054054054,290
M-2022-11,167,142,3,0.04054054054054054,291
M-2022-11,170,117,125,0.04050550874918989,292
M-2022-11,50,68,58,0.04033379694019471,293
M-2022-11,9,122,57,0.04031117397454031,294
M-2022-11,52,153,99,0.04017857142857143,295
M-2022-11,111,142,91,0.04003519577650682,296
M-2022-11,79,71,510,0.03987178484872176,297
M-2022-11,132,131,842,0.039713234600509385,298
M-2022-11,56,90,600,0.03965107057890563,299
M-2022-11,9,117,56,0.039603960396039604,300
M-2022-11,138,29,767,0.039503502266172226,301
M-2022-11,152,117,34,0.03948896631823461,302
M-2022-11,112,171,75,0.039473684210526314,303
M-2022-11,36,104,44,0.039250669045495096,304
M-2022-11,16,154,88,0.03893805309734513,305
M-2022-11,149,29,1684,0.03893191538550456,306
M-2022-11,88,12,18,0.03870967741935484,307
M-2022-11,36,64,43,0.0383586083853702,308
M-2022-11,111,130,87,0.03827540695116586,309
M-2022-11,50,82,55,0.03824756606397774,310
M-2022-11,169,138,78,0.0380859375,311
M-2022-11,2,117,293,0.038002594033722435,312
M-2022-11,129,153,1335,0.03779942239084886,313
M-2022-11,76,175,165,0.03775743707093822,314
M-2022-11,45,105,65,0.03772489843296576,315
M-2022-11,154,61,137,0.0376270255424334,316
M-2022-11,50,156,54,0.037552155771905425,317
M-2022-11,66,61,123,0.03751143641354071,318
M-2022-11,11,148,114,0.037315875613747954,319
M-2022-11,155,14,422,0.037200282087447106,320
M-2022-11,52,133,91,0.036931818181818184,321
M-2022-11,19,158,1420,0.036902286902286904,322
M-2022-11,72,75,360,0.03670847353930866,323
M-2022-11,15,153,31,0.036556603773584904,324
M-2022-11,111,155,83,0.0365156181258249,325
M-2022-11,96,100,2315,0.03649174797837292,326
