period,class_id,support,centroid_shift_from_ref,radius,delta_radius_from_ref,nearest_other_class,nearest_centroid_distance,delta_nearest_distance_from_ref,margin,delta_margin_from_ref,top_confusion_partner,top_confusion_partner_rate,confusion_partner_distance,ref_top_confusion_partner,ref_top_confusion_partner_distance,ref_distance_to_current_partner,delta_current_partner_distance_from_ref
M-2022-12,52,1274,2.0779426097869873,7.3979620933532715,0.2561979293823242,19,4.184586524963379,-0.29817724227905273,-3.2133755683898926,-0.554375171661377,139,0.061224489795918366,5.637288570404053,153,5.602747440338135,5.005894184112549,0.6313943862915039
M-2022-12,53,5505,2.1234261989593506,6.321565628051758,0.7880740165710449,51,5.418549060821533,-0.3334922790527344,-0.9030165672302246,-1.1215662956237793,14,0.056857402361489555,7.121340274810791,117,7.3676018714904785,6.918376922607422,0.20296335220336914
M-2022-12,54,5063,4.8820905685424805,5.460124492645264,-0.847449779510498,29,4.305535316467285,0.593334436416626,-1.1545891761779785,1.440784215927124,149,0.6336164329448943,5.210707664489746,29,3.712200880050659,7.468501091003418,-2.257793426513672
M-2022-12,55,4063,4.370075225830078,1.9825724363327026,-0.5150731801986694,165,6.950346946716309,0.49382543563842773,4.967774510383606,1.0088986158370972,51,0.465173517105587,7.996035575866699,165,6.456521511077881,8.534456253051758,-0.5384206771850586
M-2022-12,56,12137,6.96217679977417,5.116946220397949,0.596522331237793,164,6.361450672149658,-0.9150896072387695,1.244504451751709,-1.5116119384765625,96,0.25236878965147896,8.233799934387207,87,11.77489185333252,10.53589916229248,-2.3020992279052734
M-2022-12,57,2331,3.6199328899383545,4.801755905151367,0.6785697937011719,84,6.416787147521973,-0.705843448638916,1.6150312423706055,-1.384413242340088,133,0.012441012441012441,8.565316200256348,14,8.034412384033203,9.267034530639648,-0.7017183303833008
M-2022-12,58,15,8.872556686401367,3.940781593322754,0.47886180877685547,30,6.408874034881592,0.15705251693725586,2.468092441558838,-0.3218092918395996,51,0.7333333333333333,7.809664726257324,96,9.609481811523438,7.989777088165283,-0.18011236190795898
M-2022-12,59,6030,4.287503242492676,3.069002628326416,-2.215998649597168,152,8.25348949432373,1.7172842025756836,5.1844868659973145,3.9332828521728516,118,0.0038142620232172473,8.313923835754395,172,6.536205291748047,6.879592418670654,1.4343314170837402
M-2022-12,60,24845,1.4441732168197632,7.672529697418213,-0.01690196990966797,171,2.721431016921997,-0.34245729446411133,-4.951098680496216,-0.32555532455444336,61,0.07003421211511371,5.169524192810059,61,5.104747295379639,5.104747295379639,0.06477689743041992
M-2022-12,61,10494,1.430953025817871,7.9406657218933105,-0.07138872146606445,86,3.572824239730835,0.4769432544708252,-4.367841482162476,0.5483319759368896,86,0.05326853440060987,3.572824239730835,86,3.0958809852600098,3.0958809852600098,0.4769432544708252
M-2022-12,62,11221,0.9746053814888,6.940252304077148,-0.11812210083007812,86,5.619395732879639,-0.5707178115844727,-1.3208565711975098,-0.45259571075439453,86,0.013813385616255235,5.619395732879639,86,6.243754863739014,6.243754863739014,-0.624359130859375
M-2022-12,63,5492,0.9545135498046875,7.910068035125732,-0.07044267654418945,60,3.185610294342041,-0.24487042427062988,-4.724457740783691,-0.17442774772644043,60,0.12163146394756008,3.185610294342041,60,3.430480718612671,3.430480718612671,-0.24487042427062988
M-2022-12,64,1215,1.7868014574050903,6.620139122009277,-0.3320732116699219,168,3.317769765853882,-0.013931512832641602,-3.3023693561553955,0.3181416988372803,168,0.060082304526748974,3.317769765853882,168,3.3317012786865234,3.3317012786865234,-0.013931512832641602
M-2022-12,65,2112,0.8182294368743896,4.495056629180908,0.20843935012817383,106,4.048095703125,-0.6115779876708984,-0.4469609260559082,-0.8200173377990723,107,0.013731060606060606,5.034384727478027,107,5.227299690246582,5.227299690246582,-0.1929149627685547
M-2022-12,66,1955,8.156315803527832,7.601340293884277,0.8149924278259277,28,4.291224002838135,-0.8420209884643555,-3.3101162910461426,-1.6570134162902832,71,0.13861892583120206,6.452206134796143,133,6.423084259033203,9.908470153808594,-3.456264019012451
M-2022-12,67,1191,3.1257524490356445,7.132044792175293,-0.646021842956543,159,3.3880178928375244,0.5371341705322266,-3.7440268993377686,1.1831560134887695,46,0.26700251889168763,5.449902057647705,46,4.160336494445801,4.160336494445801,1.2895655632019043
M-2022-12,68,2499,3.048633337020874,7.660847187042236,0.29010009765625,117,4.965216636657715,1.2272636890411377,-2.6956305503845215,0.9371635913848877,117,0.010404161664665866,4.965216636657715,153,5.167975425720215,6.348978519439697,-1.3837618827819824
M-2022-12,69,1866,6.443212985992432,6.089746475219727,-0.8204994201660156,15,4.448661804199219,0.1535787582397461,-1.6410846710205078,0.9740781784057617,105,0.3767416934619507,6.146244049072266,104,4.692135810852051,4.295083045959473,1.851161003112793
M-2022-12,70,908,3.1232659816741943,7.74099588394165,0.0361175537109375,82,3.357374906539917,-0.2913384437561035,-4.383620977401733,-0.327455997467041,71,0.23788546255506607,3.9226865768432617,82,3.6487133502960205,4.667101860046387,-0.744415283203125
M-2022-12,71,39434,1.3187251091003418,8.914222717285156,0.04944610595703125,82,2.8845620155334473,-0.3489699363708496,-6.029660701751709,-0.39841604232788086,175,0.061013338743216516,2.9939260482788086,82,3.233531951904297,3.542565107345581,-0.5486390590667725
M-2022-12,72,5765,1.450271487236023,8.28528118133545,-0.08538532257080078,71,3.32192063331604,-0.3521089553833008,-4.963360548019409,-0.2667236328125,71,0.20641803989592367,3.32192063331604,71,3.974828004837036,3.974828004837036,-0.6529073715209961
M-2022-12,73,8821,2.109118938446045,5.531557559967041,-0.044835567474365234,75,5.067008018493652,0.4728541374206543,-0.46454954147338867,0.5176897048950195,82,0.06382496315610475,5.478684902191162,82,5.259551525115967,5.259551525115967,0.2191333770751953
M-2022-12,74,2294,1.374314785003662,8.358333587646484,-0.3348207473754883,80,3.1033506393432617,-0.6336712837219238,-5.254982948303223,-0.29885053634643555,175,0.2244986922406277,3.455432891845703,77,4.056864261627197,3.7370219230651855,-0.2815890312194824
M-2022-12,75,6807,2.4823646545410156,7.306070327758789,-0.13091754913330078,82,3.371706247329712,-0.062058210372924805,-3.934364080429077,0.06885933876037598,71,0.46657852210959305,4.217684745788574,71,4.6311211585998535,4.6311211585998535,-0.4134364128112793
