period,class_id,support,ref_support,size_sum_w1,direction_front_0_9_sum_w1,ipt_tail_20_29_sum_w1,total_norm_w1,total_norm_w1_std_floor_1,total_log_w1,delta_f1_from_ref
M-2022-4,74,9210,9210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,75,28060,28060,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,76,10523,10523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,77,81932,81932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,78,48009,48009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,79,25102,25102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,80,6096,6096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,81,7217,7217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,82,79609,79609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,83,24502,24502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,84,2397,2397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,85,2080,2080,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,86,27759,27759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,87,11231,11231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,88,204,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,89,486,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,90,7635,7635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,91,4262,4262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,92,2288,2288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,93,34812,34812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,94,633,633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,95,50223,50223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,96,55119,55119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,97,41580,41580,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,98,63298,63298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,99,23955,23955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,100,30504,30504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,101,60629,60629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,102,79891,79891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,103,1787,1787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,104,3363,3363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,105,4895,4895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,106,3993,3993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,107,3873,3873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,108,11663,11663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,109,1867,1867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,110,9808,9808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,111,2817,2817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,112,3822,3822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,113,5042,5042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,114,3329,3329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,115,22978,22978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,116,4023,4023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,117,84936,84936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,118,3760,3760,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,119,2846,2846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,120,2918,2918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,121,2543,2543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,122,61426,61426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,123,3393,3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,124,30492,30492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,125,3522,3522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,126,2112,2112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,127,3002,3002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,128,2342,2342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,129,44177,44177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,130,7092,7092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,131,30533,30533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,132,23157,23157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,133,54110,54110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,134,10738,10738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,135,3069,3069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,136,22342,22342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,137,4089,4089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,138,43631,43631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,139,2846,2846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,140,71932,71932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,141,2022,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,142,62604,62604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,143,4384,4384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,144,3642,3642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,145,2224,2224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,146,4793,4793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,147,2203,2203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,148,6812,6812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,149,74194,74194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,150,2305,2305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,151,2021,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,152,1673,1673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,153,70973,70973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,154,2978,2978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,155,11183,11183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,156,32897,32897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,157,2075,2075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,158,12544,12544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,159,3182,3182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
