period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-9,7,5,15,0.8823529411764706,1
M-2022-9,121,14,124,0.7515151515151515,2
M-2022-9,147,157,1468,0.6591827570722946,3
M-2022-9,54,149,2947,0.6033988533988534,4
M-2022-9,163,46,1234,0.6010716025328787,5
M-2022-9,6,5,912,0.5612307692307692,6
M-2022-9,48,6,1670,0.5561105561105562,7
M-2022-9,42,160,764,0.5380281690140845,8
M-2022-9,123,68,4047,0.4453615054473424,9
M-2022-9,47,14,4,0.4444444444444444,10
M-2022-9,48,177,1307,0.4352314352314352,11
M-2022-9,167,14,18,0.3829787234042553,12
M-2022-9,56,165,3978,0.37752681028755813,13
M-2022-9,56,96,3928,0.3727816266489513,14
M-2022-9,103,102,720,0.36809815950920244,15
M-2022-9,80,175,557,0.34965473948524795,16
M-2022-9,14,129,2535,0.33917580947283915,17
M-2022-9,47,6,3,0.3333333333333333,18
M-2022-9,69,125,105,0.32507739938080493,19
M-2022-9,174,2,467,0.3231833910034602,20
M-2022-9,30,129,300,0.31315240083507306,21
M-2022-9,40,71,223,0.30758620689655175,22
M-2022-9,55,51,1407,0.29968051118210864,23
M-2022-9,33,25,135,0.29867256637168144,24
M-2022-9,150,101,385,0.2873134328358209,25
M-2022-9,50,118,2106,0.2846715328467153,26
M-2022-9,11,153,527,0.2715095311695003,27
M-2022-9,50,14,1856,0.2508786158421195,28
M-2022-9,100,133,6803,0.24775119268727921,29
M-2022-9,67,13,679,0.2462821907870874,30
M-2022-9,40,82,175,0.2413793103448276,31
M-2022-9,72,71,2487,0.2294068812840144,32
M-2022-9,139,68,343,0.21599496221662468,33
M-2022-9,123,96,1943,0.21382194343567734,34
M-2022-9,104,117,426,0.2101628021706956,35
M-2022-9,19,142,4061,0.20858801171092506,36
M-2022-9,67,46,566,0.20529561117156328,37
M-2022-9,79,175,2289,0.20089520800421273,38
M-2022-9,138,149,4578,0.19917337393952578,39
M-2022-9,74,175,706,0.19814762840303116,40
M-2022-9,38,125,18,0.19148936170212766,41
M-2022-9,172,117,1736,0.19083214246454874,42
M-2022-9,104,2,386,0.19042920572274297,43
M-2022-9,70,82,313,0.1865315852205006,44
M-2022-9,42,115,263,0.1852112676056338,45
M-2022-9,65,176,498,0.1836283185840708,46
M-2022-9,75,82,2425,0.17310300521093583,47
M-2022-9,75,71,2397,0.17110429009922193,48
M-2022-9,173,122,566,0.16961342523224454,49
M-2022-9,36,64,54,0.16615384615384615,50
M-2022-9,11,93,316,0.1628026790314271,51
M-2022-9,16,176,250,0.15673981191222572,52
M-2022-9,104,19,313,0.1544153922052294,53
M-2022-9,70,75,259,0.15435041716328962,54
M-2022-9,159,46,306,0.15022091310751104,55
M-2022-9,166,18,728,0.14991762767710048,56
M-2022-9,86,61,5944,0.14967014151180943,57
M-2022-9,101,117,7657,0.14859305259072386,58
M-2022-9,174,117,212,0.1467128027681661,59
M-2022-9,33,51,66,0.14601769911504425,60
M-2022-9,80,72,227,0.14249843063402384,61
M-2022-9,96,117,7362,0.1389476068247018,62
M-2022-9,175,71,5315,0.13706225179225334,63
M-2022-9,88,155,33,0.13692946058091288,64
M-2022-9,101,164,7017,0.13617310304676888,65
M-2022-9,177,14,173,0.13307692307692306,66
M-2022-9,63,60,1335,0.13204747774480713,67
M-2022-9,135,156,400,0.13157894736842105,68
M-2022-9,28,142,1363,0.12925557136083451,69
M-2022-9,5,14,344,0.12826249067859807,70
M-2022-9,63,61,1295,0.1280909990108803,71
M-2022-9,135,26,389,0.12796052631578947,72
M-2022-9,30,138,122,0.12734864300626306,73
M-2022-9,150,130,167,0.12462686567164179,74
M-2022-9,173,23,413,0.1237638597542703,75
M-2022-9,54,29,597,0.12223587223587223,76
M-2022-9,32,153,207,0.11896551724137931,77
M-2022-9,9,71,170,0.11564625850340136,78
M-2022-9,149,117,5917,0.1153186513350224,79
M-2022-9,174,93,164,0.11349480968858132,80
M-2022-9,47,87,1,0.1111111111111111,81
M-2022-9,47,151,1,0.1111111111111111,82
M-2022-9,159,67,223,0.1094747177221404,83
M-2022-9,147,170,234,0.10507409070498429,84
M-2022-9,16,153,166,0.10407523510971786,85
M-2022-9,69,39,33,0.1021671826625387,86
M-2022-9,97,96,4404,0.10143024942997306,87
M-2022-9,164,117,188,0.10026666666666667,88
M-2022-9,164,138,187,0.09973333333333333,89
