method,strategy,budget,confidence_threshold,silver_samples,silver_collapse_count,silver_correct_rate,replay_samples,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,,0,,0,0,,890,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8
self_evolving+replay+kd,confidence>=0.9,0,0.9,786000,5543,0.9446,890,0.7605236886434623,0.6352574772311592,0.0061113957403205734,0.025812577959604427,27326,0.9468967622007047,0.9042080696718671,144172,12,8
self_evolving+replay+kd,confidence>=0.95,0,0.95,688791,3052,0.9665,890,0.7608879491002691,0.6338257857929055,0.006330966844763229,0.02764996633410205,27326,0.944261021557584,0.9009482643878511,144172,12,8
self_evolving+replay+kd,confidence>=0.99,0,0.99,490720,526,0.9902,890,0.7581748888514385,0.6298718248937623,0.006550537949205884,0.026961471974727227,27326,0.9431442998640512,0.90367737881448,144172,12,7
self_evolving+replay+kd,confidence>=0.997,0,0.997,373668,123,0.9939,890,0.7546025669026298,0.6276588197791864,0.006989680158091195,0.027498781798392883,27326,0.9441500430041895,0.9030744704360643,144172,12,8
