method,confidence_threshold,class_id,full_support,full_recall,full_f1,silver_count
self_evolving,0.9,56,12137,0.00032957073411881023,0.000655361677725895,10
self_evolving,0.9,163,1741,0.0022975301550832855,0.0041279669762641896,12
self_evolving,0.9,174,1507,0.0,0.0,5
self_evolving,0.9,48,3361,0.001487652484379649,0.0029585798816568047,3
self_evolving,0.9,38,193,0.06735751295336788,0.10655737704918032,15
self_evolving,0.9,69,1866,0.0021436227224008574,0.0036646816307833257,21
self_evolving,0.9,104,1744,0.0,0.0,25
self_evolving,0.9,47,618,0.0,0.0,9
self_evolving,0.9,66,1955,0.0,0.0,42
self_evolving,0.9,10,1004,0.07569721115537849,0.13036020583190394,19
self_evolving,0.9,109,393,0.0,0.0,8
self_evolving,0.9,26,807,0.028500619578686492,0.039586919104991396,32
self_evolving,0.95,56,12137,0.0004943561011782154,0.0009855453350854138,6
self_evolving,0.95,163,1741,0.0,0.0,0
self_evolving,0.95,174,1507,0.0,0.0,3
self_evolving,0.95,48,3361,0.0017851829812555787,0.0035077462730195848,2
self_evolving,0.95,38,193,0.06217616580310881,0.09523809523809523,14
self_evolving,0.95,69,1866,0.0010718113612004287,0.0020232675771370764,10
self_evolving,0.95,104,1744,0.0,0.0,14
self_evolving,0.95,47,618,0.0,0.0,3
self_evolving,0.95,66,1955,0.0,0.0,18
self_evolving,0.95,10,1004,0.09163346613545817,0.15766923736075408,5
self_evolving,0.95,109,393,0.0,0.0,3
self_evolving,0.95,26,807,0.009913258983890954,0.01603206412825651,14
self_evolving,0.99,56,12137,0.0007415341517673231,0.0014790468364831552,0
self_evolving,0.99,163,1741,0.0,0.0,0
self_evolving,0.99,174,1507,0.0,0.0,1
self_evolving,0.99,48,3361,0.001487652484379649,0.0029455081001472753,1
self_evolving,0.99,38,193,0.06735751295336788,0.09352517985611511,6
self_evolving,0.99,69,1866,0.001607717041800643,0.0030211480362537764,1
self_evolving,0.99,104,1744,0.0,0.0,6
self_evolving,0.99,47,618,0.0,0.0,0
self_evolving,0.99,66,1955,0.0,0.0,0
self_evolving,0.99,10,1004,0.017928286852589643,0.033550792171481825,0
self_evolving,0.99,109,393,0.0,0.0,1
self_evolving,0.99,26,807,0.004956629491945477,0.009523809523809525,0
self_evolving,0.997,56,12137,0.008239268352970256,0.016272068993572534,0
self_evolving,0.997,163,1741,0.0011487650775416428,0.0022234574763757642,0
self_evolving,0.997,174,1507,0.0,0.0,0
self_evolving,0.997,48,3361,0.0002975304968759298,0.0005892751915144372,0
self_evolving,0.997,38,193,0.06735751295336788,0.0896551724137931,1
self_evolving,0.997,69,1866,0.0005359056806002144,0.0010116337885685382,0
self_evolving,0.997,104,1744,0.0022935779816513763,0.004395604395604396,0
self_evolving,0.997,47,618,0.0016181229773462784,0.002560819462227913,0
self_evolving,0.997,66,1955,0.0005115089514066496,0.0009099181073703367,0
self_evolving,0.997,10,1004,0.045816733067729085,0.07856532877882152,0
self_evolving,0.997,109,393,0.0,0.0,0
self_evolving,0.997,26,807,0.006195786864931847,0.011337868480725623,0
