method,strategy,budget,confidence_threshold,silver_samples,silver_collapse_true_count,silver_collapse_pseudo_count,silver_correct_rate,replay_samples,ft_depth,holdout_overall_accuracy,holdout_overall_macro_f1,holdout_bad_accuracy,holdout_bad_macro_f1,holdout_bad_support,holdout_stable_accuracy,holdout_stable_macro_f1,holdout_stable_support,holdout_collapsed_count,holdout_severe_collapsed_count,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,,0,,0,0,0,,0,,0.7525250807685768,0.6291476001460555,0.005898617511520737,0.02963947177697161,5425,0.9407524916370659,0.9005320599656045,28997,12,8,0.7525250807685768,0.6291476001460555,0.005898617511520737,0.02963947177697161,5425,0.9407524916370659,0.9005320599656045,28997,12,8,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8
self_evolving,confidence>=0.9,0,0.9,628680,4445,164,0.9445,0,full,0.7413402860435678,0.6053041599979843,0.0027649769585253456,0.016568778494598993,5425,0.9389936890023106,0.8900561696121351,28997,12,10,0.5606155937162101,0.47763783333862186,0.003714872601721953,0.018835164859980477,22881,0.8215013817786436,0.7569258462087782,44146,12,9,0.742061275863815,0.6080368283123081,0.0038790895118202447,0.020525096220746403,27326,0.9391629442610215,0.8891415835224745,144172,12,9
self_evolving,confidence>=0.95,0,0.95,550768,2475,78,0.9664,0,full,0.7325284815507567,0.6003232066079879,0.0020276497695852535,0.013430007341272655,5425,0.9394420112425423,0.8842925882780923,28997,12,10,0.5686125254219954,0.4829228867909683,0.0022936702748380345,0.012073421481678807,24851,0.8327246906066139,0.7647348363268291,49290,12,10,0.7329237796330038,0.6019497308378534,0.0025250677010905365,0.014431971124138895,27326,0.9395791138362511,0.88432889244393,144172,12,10
self_evolving,confidence>=0.99,0,0.99,392423,434,13,0.9901,0,full,0.6818606057170927,0.5563850356686422,0.0003686635944700461,0.009009009009009009,5425,0.9288891954340104,0.8341190621542852,28997,12,11,0.5527607256506727,0.46810511493242646,0.00018592890078833853,0.00380517503805175,26892,0.8355586674048263,0.7214448215555779,61414,12,11,0.682144209354541,0.5575963698744737,0.000329356656663983,0.006578947368421052,27326,0.9293205338068419,0.8360569702864769,144172,12,11
self_evolving,confidence>=0.997,0,0.997,298370,100,1,0.9939,0,full,0.6563811898958983,0.4976301192194867,0.0,0.0,5425,0.9133703486567576,0.7757675292789635,28997,12,12,0.5584358433696733,0.4269799992441846,3.6729596709028136e-05,0.0008503401360544217,27226,0.8191162085146803,0.6483237341857463,70537,12,12,0.6563346178174753,0.4978674638794437,7.319036814755179e-05,0.0016835016835016836,27326,0.911224093443942,0.7724900983601096,144172,12,11
