method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,head_type,hidden_dim
static,margin,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
original_head,margin,1000,0.8081043450113407,0.6864188564767173,0.43848719170300876,0.26575525411978645,27287,0.93782563149095,0.8954736534376337,144143,5,3,original,
expanded_head,margin,1000,0.7950128154805257,0.6720726192539894,0.43680140726353206,0.31331742644627486,27287,0.9247760904102176,0.8704840235026914,144143,4,2,expanded,512
expanded_head_nokd,margin,1000,0.7448255937511581,0.6178798159377328,0.45732400043976984,0.31596931144399276,27287,0.9153479530743776,0.8422466743481557,144143,4,1,expanded_nokd,512
