method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,replay_samples,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,,,,,,,,,
cade_repair_cade_score,cade_score,1000,0.7691073180213109,0.6434675606441009,0.3231231451287876,0.1242340791696701,27293,0.9350145691688636,0.8841803701376373,144140,9,7,890,0.7692085043480758,0.6438543365179725,0.32379418868476906,0.12460543281038255,27326,0.9350081846683128,0.8842036267419825,144172,9,7
cade_repair_margin,margin,1000,0.8078744302235089,0.6839611984172657,0.4443507897533624,0.24231295994428736,27287,0.9413776596851737,0.8900048153485949,144143,6,3,890,0.8079470749205164,0.6842433966577035,0.44499743833711486,0.24346923268580853,27326,0.9413755791693256,0.8900576663685381,144172,6,3
