method,alpha,tau_conf,momentum,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,support
static,,,,5,14,1,369,0.12715368711233632,2902
static,,,,5,6,2,176,0.06064782908339077,2902
static,,,,5,124,3,136,0.04686423156443832,2902
static,,,,5,151,4,70,0.024121295658166782,2902
static,,,,5,177,5,39,0.013439007580978636,2902
static,,,,6,5,1,1308,0.5384932070811034,2429
static,,,,6,14,2,83,0.03417044051049815,2429
static,,,,6,151,3,40,0.016467682173734045,2429
static,,,,6,124,4,29,0.011939069575957185,2429
static,,,,6,149,5,22,0.009057225195553726,2429
static,,,,10,156,1,303,0.2112970711297071,1434
static,,,,10,138,2,205,0.14295676429567644,1434
static,,,,10,117,3,129,0.0899581589958159,1434
static,,,,10,12,4,33,0.02301255230125523,1434
static,,,,10,61,5,33,0.02301255230125523,1434
static,,,,11,153,1,575,0.28735632183908044,2001
static,,,,11,93,2,277,0.13843078460769614,2001
static,,,,11,133,3,108,0.053973013493253376,2001
static,,,,11,148,4,72,0.035982008995502246,2001
static,,,,11,2,5,65,0.03248375812093953,2001
static,,,,12,156,1,482,0.1868217054263566,2580
static,,,,12,61,2,129,0.05,2580
static,,,,12,132,3,47,0.01821705426356589,2580
static,,,,12,117,4,38,0.014728682170542635,2580
static,,,,12,28,5,35,0.013565891472868217,2580
static,,,,14,129,1,2335,0.23333666433496553,10007
static,,,,14,61,2,621,0.0620565604077146,10007
static,,,,14,63,3,556,0.05556110722494254,10007
static,,,,14,153,4,528,0.052763065853902266,10007
static,,,,14,86,5,300,0.0299790146897172,10007
static,,,,26,13,1,86,0.06142857142857143,1400
static,,,,26,136,2,50,0.03571428571428571,1400
static,,,,26,155,3,40,0.02857142857142857,1400
static,,,,26,61,4,28,0.02,1400
static,,,,26,89,5,16,0.011428571428571429,1400
static,,,,28,49,1,1273,0.10847890924584576,11735
static,,,,28,142,2,943,0.08035790370685982,11735
static,,,,28,117,3,526,0.044823178525777586,11735
static,,,,28,158,4,520,0.044311887515977845,11735
static,,,,28,95,5,272,0.023178525777588412,11735
static,,,,38,125,1,21,0.22826086956521738,92
static,,,,38,105,2,14,0.15217391304347827,92
static,,,,38,133,3,7,0.07608695652173914,92
static,,,,38,128,4,6,0.06521739130434782,92
static,,,,38,156,5,4,0.043478260869565216,92
static,,,,47,6,1,10,0.29411764705882354,34
static,,,,47,177,2,10,0.29411764705882354,34
static,,,,47,14,3,7,0.20588235294117646,34
static,,,,47,151,4,3,0.08823529411764706,34
static,,,,47,117,5,2,0.058823529411764705,34
static,,,,48,6,1,1633,0.5468854655056933,2986
static,,,,48,177,2,1295,0.4336905559276624,2986
static,,,,48,14,3,52,0.017414601473543203,2986
static,,,,48,5,4,2,0.0006697923643670462,2986
static,,,,48,151,5,2,0.0006697923643670462,2986
static,,,,56,96,1,4072,0.38034746870913505,10706
static,,,,56,165,2,3888,0.3631608443863254,10706
