class,group,reference_support,target_support,accepted_updates,static_f1,best_caps_f1,delta_f1,static_recall,best_caps_recall,delta_recall
0,other,1414,1642,538,0.9030246336139695,0.9097767997485068,0.00675216613453733,0.881851400730816,0.8812423873325214,-0.0006090133982946666
1,other,10792,4956,2282,0.8785763445088979,0.8806116447755342,0.0020353002666363418,0.9015334947538337,0.9063761097659403,0.004842615012106588
2,other,7583,5086,1884,0.5075818036711891,0.5087281795511222,0.0011463758799330481,0.6877703499803381,0.7019268580416831,0.014156508061344941
3,other,1593,1139,1020,0.8854041013268998,0.8809904153354633,-0.0044136859914365445,0.9666374012291484,0.9683933274802459,0.0017559262510974394
4,other,3737,972,851,0.8931116389548693,0.8892045454545454,-0.0039070935003239216,0.9670781893004116,0.9660493827160493,-0.0010288065843622185
5,bad,2093,2902,1864,0.5959319975713419,0.6081957547169812,0.01226375714563932,0.6764300482425913,0.7108890420399724,0.03445899379738104
6,bad,2729,2429,1415,0.35736079328756676,0.34970380278998664,-0.007656990497580118,0.3857554549197201,0.37669822972416633,-0.009057225195553742
7,other,36,39,0,0.046511627906976744,0.046511627906976744,0.0,0.02564102564102564,0.02564102564102564,0.0
8,stable,1574,1940,1286,0.896049896049896,0.9006485084306096,0.004598612380713574,0.8886597938144329,0.8948453608247423,0.006185567010309367
9,other,1547,1291,40,0.2912300055157198,0.3090909090909091,0.01786090357518927,0.20449264136328427,0.2238574748257165,0.01936483346243223
10,bad,2020,1434,418,0.5132346343651862,0.5169892473118279,0.0037546129466417,0.398884239888424,0.4191073919107392,0.020223152022315227
11,bad,1685,2001,135,0.2203874245792315,0.22455274521900062,0.004165320639769127,0.17341329335332334,0.18190904547726136,0.008495752123938022
12,bad,2788,2580,755,0.6587301587301587,0.6845289541918755,0.025798795461716817,0.6112403100775193,0.6139534883720931,0.002713178294573737
13,other,2093,1607,125,0.39652247667514845,0.39354066985645936,-0.0029818068186890923,0.5818294959551961,0.6141879278158059,0.032358431860609826
14,bad,10401,10007,47,0.35328685832805207,0.3455751688188603,-0.007711689509191766,0.3063855301289098,0.2914959528330169,-0.014889577295892908
15,stable,751,951,519,0.7901510912143257,0.7906458797327395,0.0004947885184137801,0.7423764458464774,0.7465825446898002,0.004206098843322792
16,other,2008,2405,86,0.2284234752589183,0.23861413802738196,0.01019066276846367,0.16507276507276508,0.17754677754677756,0.012474012474012475
