true_class,pred_class,rank_for_bad_class,support,static_count,static_rate,caps_count,caps_rate,delta_count,delta_rate
5,14,1,2902,369,0.12715368711233632,303,0.10441075120606479,-66,-0.022742935906271536
5,6,2,2902,176,0.06064782908339077,172,0.059269469331495524,-4,-0.0013783597518952431
5,124,3,2902,136,0.04686423156443832,144,0.04962095106822881,8,0.0027567195037904862
5,151,4,2902,70,0.024121295658166782,46,0.015851137146795313,-24,-0.00827015851137147
5,177,5,2902,39,0.013439007580978636,45,0.015506547208821502,6,0.0020675396278428664
6,5,1,2429,1308,0.5384932070811034,1342,0.5524907369287773,34,0.013997529847673884
6,14,2,2429,83,0.03417044051049815,78,0.03211198023878139,-5,-0.0020584602717167583
6,151,3,2429,40,0.016467682173734045,25,0.01029230135858378,-15,-0.006175380815150266
6,124,4,2429,29,0.011939069575957185,37,0.015232606010703994,8,0.0032935364347468094
6,149,5,2429,22,0.009057225195553726,20,0.008233841086867023,-2,-0.0008233841086867037
10,156,1,1434,303,0.2112970711297071,295,0.20571827057182707,-8,-0.005578800557880043
10,138,2,1434,205,0.14295676429567644,188,0.13110181311018132,-17,-0.011854951185495122
10,117,3,1434,129,0.0899581589958159,97,0.06764295676429567,-32,-0.022315202231520226
10,12,4,1434,33,0.02301255230125523,32,0.022315202231520222,-1,-0.0006973500697350088
10,61,5,1434,33,0.02301255230125523,41,0.028591352859135284,8,0.005578800557880053
11,153,1,2001,575,0.28735632183908044,533,0.26636681659170414,-42,-0.020989505247376306
11,93,2,2001,277,0.13843078460769614,274,0.13693153423288357,-3,-0.0014992503748125774
11,133,3,2001,108,0.053973013493253376,105,0.05247376311844078,-3,-0.0014992503748125982
11,148,4,2001,72,0.035982008995502246,84,0.041979010494752625,12,0.005997001499250379
11,2,5,2001,65,0.03248375812093953,74,0.03698150924537731,9,0.004497751124437781
12,156,1,2580,482,0.1868217054263566,466,0.1806201550387597,-16,-0.006201550387596899
12,61,2,2580,129,0.05,127,0.04922480620155039,-2,-0.0007751937984496124
12,132,3,2580,47,0.01821705426356589,52,0.020155038759689922,5,0.001937984496124031
12,117,4,2580,38,0.014728682170542635,27,0.010465116279069767,-11,-0.004263565891472868
12,28,5,2580,35,0.013565891472868217,35,0.013565891472868217,0,0.0
14,129,1,10007,2335,0.23333666433496553,2317,0.23153792345358248,-18,-0.001798740881383043
14,61,2,10007,621,0.0620565604077146,623,0.062256420505646046,2,0.00019986009793144383
14,63,3,10007,556,0.05556110722494254,643,0.06425502148496053,87,0.008693914260017983
14,153,4,10007,528,0.052763065853902266,491,0.04906565404217048,-37,-0.0036974118117317836
14,86,5,10007,300,0.0299790146897172,274,0.027380833416608373,-26,-0.0025981812731088252
26,13,1,1400,86,0.06142857142857143,86,0.06142857142857143,0,0.0
26,136,2,1400,50,0.03571428571428571,44,0.03142857142857143,-6,-0.004285714285714282
26,155,3,1400,40,0.02857142857142857,46,0.032857142857142856,6,0.004285714285714285
26,61,4,1400,28,0.02,30,0.02142857142857143,2,0.0014285714285714284
26,89,5,1400,16,0.011428571428571429,17,0.012142857142857143,1,0.0007142857142857142
28,49,1,11735,1273,0.10847890924584576,1244,0.106007669365147,-29,-0.002471239880698764
28,142,2,11735,943,0.08035790370685982,870,0.07413719642096293,-73,-0.0062207072858968815
28,117,3,11735,526,0.044823178525777586,399,0.034000852151683,-127,-0.010822326374094589
