method,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,strategy,rectification,replay_samples,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,,,,,,,,,,,
memento,1000,0.804411338731793,0.6771925162564602,0.3972954153992744,0.24670410593138112,27287,0.9406839041784895,0.8905694315134183,144143,6,2,margin,True,890,0.8045228754811148,0.6774976445913172,0.39793603161823904,0.24798081123710802,27326,0.9406750270510223,0.8906190921913982,144172,6,2
memento_no_rect,1000,0.8045610858633414,0.6770892669025456,0.3978084802286803,0.2470110751010174,27287,0.9407255295088904,0.8908603501775403,144143,6,2,margin,False,890,0.8046725094446993,0.6773942276221578,0.3984483641952719,0.24828598261196752,27326,0.9407166440085454,0.8909096207831009,144172,6,2
