method,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,strategy,rectification,replay_samples,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,,,,,,,,,,,
memento,1000,0.8052145278919158,0.676554587392598,0.39685564554549785,0.2547580581968136,27287,0.9390188909624471,0.8914056579781292,144143,6,2,margin,True,890,0.8053254576494318,0.6768536642926382,0.39746029422527995,0.25593946537626394,27326,0.9390172849096912,0.8914564454790472,144172,6,2
memento_no_rect,1000,0.8051820070502159,0.6764977940780998,0.39692894052112726,0.2550222855351241,27287,0.9389425778567118,0.8911355508957131,144143,6,2,margin,False,890,0.8052929613846129,0.6767969540593755,0.3975334845934275,0.256205139751637,27326,0.9389409871542325,0.8911866380008606,144172,6,2
