method,period,accuracy,macro_f1,weighted_f1,final_collapsed_macro_f1,final_collapsed_macro_recall,final_collapsed_count,final_severe_count,stable_macro_f1,stable_macro_recall,abrupt_collapsed_macro_f1,abrupt_collapsed_macro_recall,gradual_collapsed_macro_f1,gradual_collapsed_macro_recall,absorber_macro_f1,absorber_macro_recall,degraded_noncollapsed_macro_f1,degraded_noncollapsed_macro_recall
bn_static,M-2022-7,0.8127430179054186,0.7042600372271309,0.8117450570208254,0.45826448738363185,0.4511650586798629,5,3,0.8278495193430789,0.8587207999845405,0.47674770060475186,0.488761868048973,0.42869134622983973,0.39101016368928676,0.5987692734262933,0.7071534864045251,0.570417729835932,0.5716326939002561
bn_adabn,M-2022-7,0.8470660928283162,0.7435506848447667,0.8432304741645612,0.48647835210871904,0.4679598360407924,5,3,0.8324152766982168,0.8712721247722495,0.5061241831824762,0.497481621436199,0.4550450223907075,0.42072497940814185,0.6726502415322987,0.7322110048385224,0.6208226280479635,0.6196333673650067
bn_static,M-2022-10,0.7661191856455731,0.6380998799922868,0.7615839547504545,0.227468888698439,0.22540967702103717,8,7,0.8847794852947037,0.8879233165150552,0.2910228608343826,0.3092193322910801,0.12578253328092923,0.09131422858896845,0.5342854502581625,0.6165754442783757,0.4430300027135235,0.4219842509370753
bn_adabn,M-2022-10,0.7910478892242592,0.6745696953550154,0.7837458965966495,0.24229745196301755,0.21506634070048256,8,6,0.9072299205211107,0.9091155767206521,0.3155612430663506,0.2938406081847597,0.12507538619768474,0.08902751272563901,0.5925642484439633,0.624336331567839,0.5044880482820729,0.4601294939620149
bn_static,M-2022-12,0.7322390908905413,0.5817238380274391,0.7288593189498354,0.03291224860502701,0.022252849329611305,12,8,0.8691786086350852,0.8789779326064411,0.019640670489954413,0.01639710123620873,0.054146773589143146,0.03162204627905544,0.4931756927499924,0.6032851238391427,0.3820521117769524,0.3434492198672587
bn_adabn,M-2022-12,0.7673917364265747,0.6287340376714066,0.7605865520209756,0.032482005407959466,0.02397836419889428,12,6,0.8850939381443146,0.8993626884911826,0.019216310332708555,0.013161156687553287,0.05370711752836092,0.041285896217039875,0.5543213188034548,0.6264147631307685,0.45709601056805793,0.40264294552023777
