method,period,class_id,groups,support,precision,recall,f1
bn_static,M-2022-7,0,,627,0.7519788918205804,0.9090909090909091,0.8231046931407943
bn_static,M-2022-7,1,,5041,0.9278439869989166,0.8494346359849236,0.8869096934548467
bn_static,M-2022-7,2,absorber,4913,0.4716446124763705,0.7109708935477305,0.5670914846984333
bn_static,M-2022-7,3,,814,0.9960732984293194,0.9348894348894349,0.9645120405576679
bn_static,M-2022-7,4,,1306,0.9429223744292238,0.9486983154670751,0.9458015267175572
bn_static,M-2022-7,5,absorber,949,0.3919843597262952,0.845100105374078,0.535559265442404
bn_static,M-2022-7,6,degraded_noncollapsed,1455,0.08339429407461595,0.15670103092783505,0.10885652900453568
bn_static,M-2022-7,7,,13,1.0,0.15384615384615385,0.26666666666666666
bn_static,M-2022-7,8,stable,1238,0.8760268857356236,0.9474959612277868,0.910360884749709
bn_static,M-2022-7,9,degraded_noncollapsed,1255,0.6321626617375231,0.5450199203187251,0.5853658536585366
bn_static,M-2022-7,10,final_collapsed;gradual_collapsed,1346,0.9083769633507853,0.7734026745913819,0.8354735152487961
bn_static,M-2022-7,11,degraded_noncollapsed,1290,0.9610705596107056,0.3062015503875969,0.4644326866549089
bn_static,M-2022-7,12,degraded_noncollapsed,1813,0.8821635544108177,0.7556536127964699,0.8140225787284611
bn_static,M-2022-7,13,absorber,1115,0.4163763066202091,0.6430493273542601,0.5054635178004935
bn_static,M-2022-7,14,absorber;degraded_noncollapsed,4897,0.19095595126522963,0.33285685113334695,0.2426859227276111
bn_static,M-2022-7,15,stable,538,0.7624784853700516,0.8234200743494424,0.7917783735478106
bn_static,M-2022-7,16,,949,0.13095238095238096,0.13909378292939936,0.13490035769034237
bn_static,M-2022-7,17,,9274,0.957592033120734,0.9227949105024801,0.9398715062324968
bn_static,M-2022-7,18,,12401,0.681339547730019,0.9548423514232723,0.7952316991269308
bn_static,M-2022-7,19,degraded_noncollapsed,9918,0.7578656126482214,0.9666263359548296,0.8496100673520028
bn_static,M-2022-7,20,,1273,0.9063313096270599,0.8208955223880597,0.8615004122011541
bn_static,M-2022-7,21,,1255,0.935163996948894,0.9768924302788845,0.9555728760717069
bn_static,M-2022-7,22,,449,0.6153846153846154,0.6948775055679287,0.6527196652719666
bn_static,M-2022-7,23,,5629,0.6938724259166248,0.9817019008704921,0.8130655484440521
bn_static,M-2022-7,24,degraded_noncollapsed,4214,0.9820359281437125,0.9340294257237779,0.9574312819265386
bn_static,M-2022-7,25,,35008,0.8212797619047619,0.9458980804387569,0.879194987255735
bn_static,M-2022-7,26,final_collapsed;abrupt_collapsed,952,0.44384384384384384,0.7762605042016807,0.5647688192586932
bn_static,M-2022-7,27,,15113,0.9987745098039216,0.6471249917289751,0.7853844609516162
bn_static,M-2022-7,28,degraded_noncollapsed,10579,0.748850636159521,0.6620663578788165,0.7027894842464378
bn_static,M-2022-7,29,,19817,0.7263778293309925,0.584599081596609,0.6478219538108818
bn_static,M-2022-7,30,,5745,0.9996320824135394,0.9458659704090514,0.9720060817458188
bn_static,M-2022-7,31,,5940,0.9125020216723273,0.9498316498316498,0.9307927080755588
bn_static,M-2022-7,32,degraded_noncollapsed,2014,0.2741683411475776,0.6097318768619663,0.3782535037732943
bn_static,M-2022-7,33,,273,0.3069306930693069,0.11355311355311355,0.1657754010695187
bn_static,M-2022-7,34,degraded_noncollapsed,802,0.9782608695652174,0.8977556109725686,0.9362808842652796
bn_static,M-2022-7,35,,3174,0.9961430575035063,0.8950850661625709,0.9429140391636243
bn_static,M-2022-7,36,degraded_noncollapsed,1292,0.7908713692946058,0.7376160990712074,0.76331597917501
bn_static,M-2022-7,37,,939,0.9764705882352941,0.35356762513312034,0.5191555903049258
bn_static,M-2022-7,38,final_collapsed;abrupt_collapsed,102,0.6049382716049383,0.4803921568627451,0.5355191256830601
bn_static,M-2022-7,39,,5963,0.9247003207833868,0.9184974006372632,0.9215884233552079
bn_static,M-2022-7,40,degraded_noncollapsed,1205,0.9914712153518124,0.7717842323651453,0.8679421371908539
bn_static,M-2022-7,41,,1992,0.7776595744680851,0.3669678714859438,0.49863574351978174
bn_static,M-2022-7,42,degraded_noncollapsed,630,0.5254237288135594,0.049206349206349205,0.0899854862119013
bn_static,M-2022-7,43,,1330,0.815914489311164,0.5165413533834586,0.6325966850828729
bn_static,M-2022-7,44,stable,1904,0.9982537834691502,0.9007352941176471,0.9469906129210381
bn_static,M-2022-7,45,absorber,1928,0.7313432835820896,0.6607883817427386,0.6942779291553134
bn_static,M-2022-7,46,absorber,4182,0.6745454545454546,0.6209947393591583,0.6466633466135459
bn_static,M-2022-7,47,final_collapsed;gradual_collapsed,384,0.9945205479452055,0.9453125,0.9692923898531375
bn_static,M-2022-7,48,final_collapsed;abrupt_collapsed,4498,0.3318007662835249,0.09626500666963095,0.14923315526451836
bn_static,M-2022-7,49,,13761,0.8625819643234859,0.8890342271637236,0.8756083595762955
bn_static,M-2022-7,50,degraded_noncollapsed,2568,0.0778405524168236,0.048286604361370715,0.059601057438115834
bn_static,M-2022-7,51,,15397,0.7338059154241017,0.9748652334870429,0.8373312506973112
bn_static,M-2022-7,52,,1010,0.6453608247422681,0.6198019801980198,0.6323232323232323
bn_static,M-2022-7,53,,4517,0.8422825440855954,0.9411113570954173,0.8889585947302384
bn_static,M-2022-7,54,degraded_noncollapsed,3357,0.1590909090909091,0.08757819481680071,0.11296829971181556
bn_static,M-2022-7,55,degraded_noncollapsed,5627,0.9516569866757773,0.9900479829393993,0.970472955317481
bn_static,M-2022-7,56,final_collapsed;abrupt_collapsed,8114,0.0023094688221709007,0.00012324377618930243,0.000234000234000234
bn_static,M-2022-7,57,stable,2449,0.9402927580893683,0.9967333605553287,0.9676907829534193
bn_static,M-2022-7,58,,1749,1.0,0.9982847341337907,0.9991416309012876
bn_static,M-2022-7,59,stable,5381,0.9076740640352363,0.9957257015424642,0.9496632399858206
bn_static,M-2022-7,60,,21024,0.8345613433858807,0.9266552511415526,0.8782005048683736
bn_static,M-2022-7,61,,12195,0.7430485762144053,0.7275112751127512,0.7351978454526621
bn_static,M-2022-7,62,stable,8933,0.9521885521885521,0.9497369304824806,0.9509611612397019
bn_static,M-2022-7,63,,8561,0.8826573193123017,0.6176848499007125,0.7267729521715228
bn_static,M-2022-7,64,stable,16,0.024291497975708502,0.375,0.045627376425855515
bn_static,M-2022-7,65,,2044,0.9742747673782156,0.8708414872798435,0.919659002841643
bn_static,M-2022-7,66,final_collapsed;abrupt_collapsed,2587,0.8220640569395018,0.714340935446463,0.7644260599793175
bn_static,M-2022-7,67,,1175,0.31198808637379,0.3565957446808511,0.3328038125496426
bn_static,M-2022-7,68,,3493,0.6735088142960638,0.798454050959061,0.7306785433586587
bn_static,M-2022-7,69,final_collapsed;abrupt_collapsed,605,0.8061674008810573,0.9074380165289256,0.8538102643856921
bn_static,M-2022-7,70,degraded_noncollapsed,1078,0.5720338983050848,0.6261595547309833,0.5978742249778565
bn_static,M-2022-7,71,absorber,78156,0.8599406919275123,0.8348431342443319,0.847206081892606
bn_static,M-2022-7,72,,7931,0.750506329113924,0.7475728155339806,0.7490367001452846
bn_static,M-2022-7,73,,15014,0.9910702019508174,0.9609697615558812,0.9757879074800487
bn_static,M-2022-7,74,,3474,0.5315161839863713,0.6286701208981001,0.5760253197942766
bn_static,M-2022-7,75,degraded_noncollapsed,16084,0.7206004018437537,0.7581447401143994,0.7388959583106102
bn_static,M-2022-7,76,stable,5019,0.9310800105624505,0.7025303845387527,0.8008176243470361
bn_static,M-2022-7,77,,35082,0.8102562701491722,0.8453622940539308,0.8274370849840968
bn_static,M-2022-7,78,,31608,0.9846372495939361,0.9205897241204758,0.9515369522563767
bn_static,M-2022-7,79,,10765,0.7184645042326712,0.7962842545285648,0.7553753965456468
bn_static,M-2022-7,80,degraded_noncollapsed,2151,0.5761523046092184,0.2673175267317527,0.36519530009526835
bn_static,M-2022-7,81,,3251,0.9154768703597944,0.9861581051984005,0.9495039241818451
bn_static,M-2022-7,82,,38594,0.851400798860367,0.7897859770948852,0.819436790106862
bn_static,M-2022-7,83,,21074,0.7807967473317956,0.9477080763025529,0.8561935995541552
bn_static,M-2022-7,84,,1135,0.8558352402745996,0.9885462555066079,0.9174161896974653
bn_static,M-2022-7,85,,1437,0.9334677419354839,0.9665970772442589,0.9497435897435897
bn_static,M-2022-7,86,,16760,0.9097351221190231,0.7889618138424821,0.8450551206262982
bn_static,M-2022-7,87,,9083,0.8870659285354806,0.9702741385004954,0.9268061836155221
bn_static,M-2022-7,88,,239,0.3463855421686747,0.4811715481171548,0.4028021015761821
bn_static,M-2022-7,89,,552,0.9727891156462585,0.7771739130434783,0.8640483383685801
bn_static,M-2022-7,90,,3605,0.7816869643662607,0.9614424410540915,0.8622963055106356
bn_static,M-2022-7,91,,2609,0.8304363249379213,0.8972786508240705,0.8625644804716286
bn_static,M-2022-7,92,,804,0.39059876888640177,0.8681592039800995,0.5387881126978
bn_static,M-2022-7,93,,24700,0.844732370433305,0.8050607287449393,0.8244195688225538
bn_static,M-2022-7,94,stable,123,0.005082776648271856,0.2845528455284553,0.009987159366528749
bn_static,M-2022-7,95,,53160,0.9928111851167003,0.9898043641835967,0.9913054945883062
bn_static,M-2022-7,96,absorber;degraded_noncollapsed,37892,0.9798257973613423,0.807505542066927,0.8853587962962963
bn_static,M-2022-7,97,,30023,0.976509511993383,0.7864637111547813,0.8712432891168386
bn_static,M-2022-7,98,stable,48679,0.9955455651564208,0.9917007333757883,0.9936194298651847
bn_static,M-2022-7,99,stable,18048,0.9908119144847466,0.9141733156028369,0.9509510086455332
bn_static,M-2022-7,100,,10947,0.9855982274741507,0.9752443591851648,0.9803939574819781
bn_static,M-2022-7,101,degraded_noncollapsed,44889,0.977319587628866,0.44349395174764417,0.6101227416908013
bn_static,M-2022-7,102,,41479,0.866453125654231,0.997782010173823,0.9274917362317217
bn_static,M-2022-7,103,degraded_noncollapsed,1231,0.9329470198675497,0.9155158407798538,0.924149241492415
bn_static,M-2022-7,104,final_collapsed;gradual_collapsed,1719,0.44695898161244696,0.18382780686445607,0.2605111294311624
bn_static,M-2022-7,105,absorber;degraded_noncollapsed,1105,0.2015267175572519,0.7167420814479638,0.31459781529294933
bn_static,M-2022-7,106,,2288,0.9731949848681366,0.9838286713286714,0.9784829384916323
bn_static,M-2022-7,107,stable,2160,0.9529198732458126,0.9745370370370371,0.963607232776379
bn_static,M-2022-7,108,,7204,0.9797196540411571,0.9119933370349805,0.9446441409058232
bn_static,M-2022-7,109,final_collapsed;abrupt_collapsed,1236,0.956953642384106,0.9352750809061489,0.9459901800327333
bn_static,M-2022-7,110,,6102,0.9386530340075573,0.6920681743690593,0.7967172908216206
bn_static,M-2022-7,111,degraded_noncollapsed,1330,0.40698455339153794,0.4556390977443609,0.4299396949272792
