strategy,budget,class_id,support,recall,f1
absorber_margin,1000,56,12137,0.7777869325203922,0.8313152216987363
absorber_margin,1000,163,1741,0.41240666283744976,0.40633842671194115
absorber_margin,1000,174,1507,0.26542800265428,0.24600246002460024
absorber_margin,1000,48,3361,0.8869384111871467,0.8752201996476806
absorber_margin,1000,38,193,0.5854922279792746,0.3460949464012251
absorber_margin,1000,69,1866,0.006966773847802787,0.013045659809332665
absorber_margin,1000,104,1744,0.6049311926605505,0.6112398609501738
absorber_margin,1000,47,618,0.6957928802588996,0.5968077723802915
absorber_margin,1000,66,1955,0.34271099744245526,0.287183883411916
absorber_margin,1000,10,1004,0.6105577689243028,0.6811111111111111
absorber_margin,1000,109,393,0.0,0.0
absorber_margin,1000,26,807,0.03841387856257745,0.051666666666666666
