method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,margin,1000,3,0.6728,0.0010,0.2310,0.0017,0.8842,0.0040,5.3333,0.5774,0.6731,0.0010,0.2319,0.0017,0.8842,0.0040,5.3333,0.5774
active_head_ft,margin,200,3,0.6383,0.0008,0.1178,0.0016,0.8794,0.0041,10.0000,0.0000,0.6384,0.0008,0.1179,0.0016,0.8794,0.0041,10.0000,0.0000
active_head_ft,margin,500,3,0.6498,0.0017,0.1556,0.0065,0.8922,0.0004,6.6667,1.1547,0.6499,0.0017,0.1559,0.0065,0.8922,0.0004,6.6667,1.1547
static,,0,3,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000
