period,setting,accuracy,macro_f1,weighted_f1,delta_macro_f1_vs_raw,delta_accuracy_vs_raw,num_views,include_raw
W-2022-46,raw,0.7156745417771243,0.7134657848505302,0.7064429964661969,0.0,0.0,2,1
W-2022-46,direction_front_dropout_0.02,0.7171817149739828,0.713281934945576,0.7081087866476588,-0.00018384990495423637,0.0015071731968584468,2,1
W-2022-46,direction_front_dropout_0.05,0.7194772648384601,0.7129703287781023,0.7107056642983278,-0.0004954560724279577,0.0038027230613357776,2,1
W-2022-46,size_noise_0.02,0.7156818764355859,0.7134803476534346,0.7064609179217545,1.4562802904349859e-05,7.334658461588539e-06,2,1
W-2022-46,ipt_noise_0.05,0.7137681252791382,0.683666608478553,0.7031119692477432,-0.029799176371977265,-0.0019064164979860632,2,1
W-2022-46,packet_mask_0.02,0.7151345523271384,0.7105611647487627,0.706005074096076,-0.0029046201017675077,-0.0005399894499859004,2,1
W-2022-47,raw,0.7115500804874165,0.7193773416793005,0.7015335444866931,0.0,0.0,2,1
W-2022-47,direction_front_dropout_0.02,0.7129983393983936,0.7194278657484181,0.703144745534112,5.052406911765228e-05,0.0014482589109771071,2,1
W-2022-47,direction_front_dropout_0.05,0.7153459142722745,0.7192858356122898,0.7057944798490747,-9.150606701069375e-05,0.003795833784857927,2,1
W-2022-47,size_noise_0.02,0.7115691504657615,0.7193531135654507,0.7015597164815086,-2.4228113849722455e-05,1.9069978344998795e-05,2,1
W-2022-47,ipt_noise_0.05,0.7096850063354706,0.6844795518376473,0.6983225455458146,-0.03489778984165315,-0.0018650741519459224,2,1
W-2022-47,packet_mask_0.02,0.7108979174978252,0.71590388563217,0.7010194767450715,-0.003473456047130452,-0.000652162989591365,2,1
