method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,all,5,2,0.5,2.0,890,0,0,0.872321190424173,0.7946781446149097,0.07692307692307693,0.125,13,0.9646510228640193,0.8509950725809091,146256,1,0,0.872321190424173,0.7946781446149097,0.07692307692307693,0.125,13,0.9646510228640193,0.8509950725809091,146256,1,0,,
active_head_ft,margin,200,all,5,2,0.5,2.0,890,0,1,0.8926388797660013,0.8203000484258861,0.07692307692307693,0.125,13,0.9647106285214156,0.8672787179010377,146248,1,0,0.8926525994957693,0.8203537266652496,0.07692307692307693,0.125,13,0.9647125588010065,0.8672839202220601,146256,1,0,1290,0.4099229574203491
active_head_ft,margin,500,all,5,2,0.5,2.0,890,0,5,0.894369681311064,0.8323551247406361,0.15384615384615385,0.23529411764705882,13,0.962364010585122,0.8863898894694753,146243,0,0,0.8943903324947359,0.8324703685636723,0.15384615384615385,0.23529411764705882,13,0.9623673558691609,0.8863965115426184,146256,0,0,1890,0.40950852632522583
active_head_ft,margin,1000,all,5,2,0.5,2.0,890,0,12,0.8999063824878921,0.8365186853257834,0.0,0.0,13,0.953889603107306,0.8928007692940765,146236,1,1,0.8999265501208304,0.8367171175750492,0.0,0.0,13,0.953895908543923,0.8928027904253742,146256,1,1,2890,0.41373950242996216
