method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,all,5,2,0.5,2.0,890,0,0,0.831152399116993,0.7401953796542524,0.2736330905132714,0.5034284741114535,23886,0.9531574773000766,0.8321626795809953,146256,4,2,,
active_head_ft,random,200,all,5,2,0.5,2.0,890,3,22,0.8482690356486576,0.7443674855719629,0.4687264506405426,0.559459545856621,23886,0.9534378076796849,0.835624881918581,146256,3,1,1290,0.1619994044303894
active_head_ft,random,500,all,5,2,0.5,2.0,890,8,59,0.8601671118783735,0.7616923090093919,0.6325881269362806,0.6321045156919274,23886,0.9530754293840936,0.840206303053143,146256,2,1,1890,0.16128243505954742
active_head_ft,random,1000,all,5,2,0.5,2.0,890,18,116,0.8663460159472018,0.775560800594584,0.6544000669848447,0.642302330289862,23886,0.9542719614921781,0.8528958568101833,146256,2,0,2890,0.1562509685754776
active_head_ft,margin,200,all,5,2,0.5,2.0,890,6,29,0.8536739013010547,0.7530162068910102,0.5015490245331994,0.5715246344068207,23886,0.9520088064763155,0.8423366294754556,146256,3,0,1290,0.18373042345046997
active_head_ft,margin,500,all,5,2,0.5,2.0,890,19,67,0.860923726053396,0.7708440035515263,0.5957883278908147,0.6098116772427755,23886,0.9510652554425117,0.8465966655813102,146256,1,0,1890,0.18432287871837616
active_head_ft,margin,1000,all,5,2,0.5,2.0,890,38,119,0.8636620126071088,0.7768977573728509,0.6584191576655781,0.6635368905642769,23886,0.9473457499179521,0.8488211157996854,146256,1,0,2890,0.18704353272914886
active_head_ft,absorber_random,200,all,5,2,0.5,2.0,890,7,200,0.8331106157860947,0.7453112440891042,0.489366155907226,0.5804131304627544,23886,0.9546548517667651,0.8414970910284995,146256,2,1,1290,0.17664834856987
active_head_ft,absorber_random,500,all,5,2,0.5,2.0,890,15,500,0.8330013791957238,0.7505552537305369,0.49284099472494347,0.596601527061179,23886,0.9554616562739306,0.8433418879875723,146256,2,0,1890,0.1776563674211502
active_head_ft,absorber_random,1000,all,5,2,0.5,2.0,890,36,1000,0.8366470666289588,0.7542325519604516,0.5484802813363476,0.606569063431963,23886,0.9572735477518871,0.8421834461811393,146256,2,0,2890,0.17607122659683228
active_head_ft,absorber_margin,200,all,5,2,0.5,2.0,890,8,200,0.8306430751373499,0.7449031481853562,0.5132713723520054,0.5993221846623582,23886,0.9542924734711739,0.8359821445378495,146256,1,1,1290,0.19418220221996307
active_head_ft,absorber_margin,500,all,5,2,0.5,2.0,890,25,500,0.8367348579991342,0.7577009076464892,0.5726366909486729,0.6335420897931119,23886,0.9574786675418444,0.8366443723213715,146256,0,0,1890,0.19627997279167175
active_head_ft,absorber_margin,1000,all,5,2,0.5,2.0,890,43,1000,0.8443405393740945,0.7619101906611423,0.5814284518127774,0.6362258795434584,23886,0.9538343726069358,0.8390597878985145,146256,1,0,2890,0.19762076437473297
active_head_ft,absorber_margin_balanced,200,all,5,2,0.5,2.0,890,13,200,0.8322809538297813,0.7496115329275616,0.5236121577493092,0.5959266828731652,23886,0.9496977901761295,0.8373274642109593,146256,1,1,1290,0.19179637730121613
active_head_ft,absorber_margin_balanced,500,all,5,2,0.5,2.0,890,31,500,0.83833319706683,0.7590790052229207,0.5928996064640375,0.6480464138188979,23886,0.9544907559347993,0.8414752393785573,146256,0,0,1890,0.18836142122745514
active_head_ft,absorber_margin_balanced,1000,all,5,2,0.5,2.0,890,57,1000,0.849882788468369,0.767933972667217,0.6298250020932764,0.6824728197435094,23886,0.9549830434306968,0.8396992688694589,146256,0,0,2890,0.19053658843040466
