epoch,train_loss,train_ce_loss,train_temporal_loss,train_irm_penalty,train_ssl_loss,train_temporal_classes,val_macro_f1_mean,val_collapse_macro_f1_mean,lr
1,3.102772559875097,3.09815928263542,0.0,0.023066401195316378,0.0,0.0,0.25109691893545394,0.2530945982824579,0.0009972609476841367
2,3.3417373842663234,3.1003059050975703,0.0,0.6035786992281976,0.0,0.0,0.0005965194271572953,0.0,0.0009890738003669028
3,4.400491235195062,4.395747523022513,0.0,0.007906198406899965,0.0,0.0,0.004021612941797008,0.0,0.0009755282581475768
4,4.186423243009127,4.178302506503896,0.0,0.010150923029470862,0.0,0.0,0.012952656344595324,0.0,0.0009567727288213003
5,3.7356681530292217,3.7195266801067906,0.0,0.016141481962671622,0.0,0.0,0.07492333380624065,0.039199985045902504,0.0009330127018922195
6,2.959111802190797,2.859995805707752,0.0,0.0991159919829116,0.0,0.0,0.007139154715492691,0.0,0.0009045084971874739
7,3.8377918634659203,3.7940764178577653,0.0,0.04371544039394293,0.0,0.0,0.10198238395987426,0.10642960311584838,0.0008715724127386972
8,2.674139993618696,2.6610491960476605,0.0,0.01309079707200434,0.0,0.0,0.2402220752948352,0.2937455035225632,0.0008345653031794292
9,2.1946746551073515,2.182434302313715,0.0,0.012240349900386143,0.0,0.0,0.3202817911441163,0.3541242972948633,0.0007938926261462366
10,2.4335063549188467,2.391735383384248,0.0,0.04177097249128052,0.0,0.0,0.16202238057877613,0.1618017274848886,0.00075
11,2.0292093525584947,2.0186227484646007,0.0,0.010586604480004798,0.0,0.0,0.3765670373733739,0.4006028329207106,0.0007033683215379003
12,1.6838511232636932,1.676349208293817,0.0,0.007501914983246631,0.0,0.0,0.4249523295567449,0.4265022027190836,0.0006545084971874739
13,1.5316752747592763,1.525012166887267,0.0,0.006663108219358519,0.0,0.0,0.4599070120599337,0.4773154524363658,0.0006039558454088797
14,1.4105796075274801,1.4044871216146355,0.0,0.006092486289104956,0.0,0.0,0.495888350090162,0.5361965791347776,0.0005522642316338269
15,1.3124005895394546,1.306806840855851,0.0,0.00559375092957336,0.0,0.0,0.5220526976481819,0.5511297187242441,0.0005000000000000002
16,1.232892512358152,1.2277333561171833,0.0,0.005159156852945064,0.0,0.0,0.5426351980657723,0.5708429074772203,0.0004477357683661734
17,1.1678163710822407,1.1629654239385556,0.0,0.004850946493699558,0.0,0.0,0.5615594279489927,0.590607687922395,0.00039604415459112036
18,1.1134401944967416,1.1088347545036903,0.0,0.004605441319999488,0.0,0.0,0.5779592214335968,0.6025631711104561,0.0003454915028125264
19,1.0688396959223299,1.0644254881092625,0.0,0.004414208257410668,0.0,0.0,0.5919335826371831,0.6191390924223964,0.00029663167846210003
20,1.0319117958729083,1.0276539436772338,0.0,0.00425785356213669,0.0,0.0,0.599105705882496,0.6215889060773917,0.00025000000000000017
21,1.0013256860594464,0.9972124679475768,0.0,0.004113218379326356,0.0,0.0,0.6072913676101177,0.6292418021622789,0.00020610737385376354
22,0.9762340108553569,0.9722613683113686,0.0,0.003972641220286441,0.0,0.0,0.6143915551758057,0.6297858710820288,0.00016543469682057108
23,0.9558617058982197,0.9519949447395455,0.0,0.003866762794284588,0.0,0.0,0.6196269992942876,0.6342191112419812,0.00012842758726130303
24,0.940267649369362,0.9364791466639593,0.0,0.0037885029009924196,0.0,0.0,0.6270354336555389,0.6431061303886839,9.549150281252637e-05
25,0.9273074140915504,0.9235230898245786,0.0,0.0037843254205156872,0.0,0.0,0.6350354588537779,0.6504102124553356,6.698729810778068e-05
26,0.9177212235255119,0.9139220341657981,0.0,0.0037991894073884473,0.0,0.0,0.63932298563479,0.6521606795371272,4.322727117869953e-05
27,0.9108308608715351,0.90696749024921,0.0,0.003863372337299451,0.0,0.0,0.6430653251492439,0.6543449586562208,2.447174185242324e-05
28,0.9061996744229244,0.902306969349201,0.0,0.0038927048266144933,0.0,0.0,0.6441147269970067,0.6564880930177629,1.092619963309716e-05
29,0.9034727758831448,0.899513285791772,0.0,0.003959490624014833,0.0,0.0,0.6434332189095966,0.6519947724825436,2.7390523158633003e-06
30,0.9025674190276708,0.8985516363229507,0.0,0.004015781251655426,0.0,0.0,0.644420317329483,0.6489660909017689,0.0
